Coord1,Coord2,Coord3,Ind,Character,Kart,Wheel,Glider,Weight,Acceleration,On-road Traction,Off-road Traction,Mini-Turbo,Ground Speed,Water Speed,Anti-gravity Speed,Air Speed,Ground Handling,Water Handling,Anti-gravity Handling,Air Handling
Weight,Air Speed,Water Handling,385,Toad,Tanooki Kart,Roller,Wario Wing,8.0,13.0,9.0,15.0,13.0,6.0,10.0,7.0,11.0,16.0,16.0,14.0,15.0
Weight,Air Speed,Water Handling,166,Luigi,Landship,Roller,Wario Wing,8.0,15.0,7.0,11.0,15.0,8.0,14.0,7.0,13.0,14.0,15.0,11.0,13.0
Weight,Air Speed,Water Handling,930,Koopa Troopa,Steel Driver,Roller,Wario Wing,8.0,12.0,4.0,12.0,13.0,7.0,10.0,5.0,7.0,14.0,18.0,13.0,14.0
Weight,Air Speed,Water Handling,853,Koopa Troopa,Tanooki Kart,Slim,Wario Wing,9.0,9.0,11.0,13.0,10.0,8.0,8.0,10.0,9.0,17.0,17.0,14.0,16.0
Weight,Air Speed,Water Handling,474,Toad,Tanooki Kart,Slim,Wario Wing,10.0,9.0,13.0,12.0,9.0,9.0,9.0,11.0,10.0,16.0,16.0,13.0,15.0
Weight,Air Speed,Water Handling,233,Luigi,Landship,Slim,Wario Wing,10.0,11.0,11.0,8.0,11.0,11.0,13.0,11.0,12.0,14.0,15.0,10.0,13.0
Weight,Air Speed,Water Handling,1371,Koopa Troopa,Steel Driver,Slim,Wario Wing,10.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,6.0,14.0,18.0,12.0,14.0
Weight,Air Speed,Water Handling,20,Luigi,Tanooki Kart,Roller,Wario Wing,11.0,11.0,11.0,12.0,12.0,9.0,13.0,10.0,14.0,14.0,14.0,12.0,13.0
Weight,Air Speed,Water Handling,1000,Toad,Steel Driver,Slim,Wario Wing,11.0,8.0,10.0,8.0,8.0,11.0,10.0,10.0,7.0,13.0,17.0,11.0,13.0
Weight,Air Speed,Water Handling,525,Toad,Steel Driver,Standard,Wario Wing,11.0,10.0,8.0,12.0,9.0,10.0,11.0,8.0,8.0,12.0,16.0,11.0,12.0
Weight,Air Speed,Water Handling,540,Cat Peach,Steel Driver,Slim,Wario Wing,11.0,8.0,9.0,7.0,8.0,12.0,11.0,11.0,8.0,12.0,16.0,10.0,12.0
Weight,Air Speed,Water Handling,661,Metal Mario,Landship,Roller,Wario Wing,12.0,14.0,10.0,11.0,14.0,10.0,16.0,9.0,15.0,12.0,13.0,9.0,11.0
Weight,Air Speed,Water Handling,993,Koopa Troopa,Steel Driver,Metal,Wario Wing,12.0,6.0,5.0,10.0,7.0,11.0,10.0,6.0,6.0,12.0,16.0,10.0,10.0
Weight,Air Speed,Water Handling,87,Luigi,Steel Driver,Roller,Wario Wing,12.0,10.0,8.0,8.0,11.0,11.0,14.0,9.0,11.0,11.0,15.0,10.0,11.0
Weight,Air Speed,Water Handling,299,Luigi,Tanooki Kart,Slim,Wario Wing,13.0,7.0,15.0,9.0,8.0,12.0,12.0,14.0,13.0,14.0,14.0,11.0,13.0
Weight,Air Speed,Water Handling,1650,Donkey Kong,Tanooki Kart,Roller,Wario Wing,13.0,10.0,16.0,11.0,11.0,12.0,16.0,13.0,17.0,11.0,11.0,9.0,10.0
Weight,Air Speed,Water Handling,749,Luigi,Steel Driver,Standard,Wario Wing,14.0,8.0,10.0,9.0,8.0,13.0,14.0,11.0,11.0,10.0,14.0,9.0,10.0
Weight,Air Speed,Water Handling,777,Luigi,Steel Driver,Slim,Wario Wing,14.0,6.0,12.0,5.0,7.0,14.0,13.0,13.0,10.0,11.0,15.0,9.0,11.0
Weight,Air Speed,Water Handling,1806,Wario,Mach 8,Roller,Wario Wing,14.0,10.0,9.0,9.0,11.0,14.0,16.0,16.0,19.0,8.0,8.0,9.0,8.0
Weight,Air Speed,Water Handling,1622,Wario,Tanooki Kart,Roller,Wario Wing,14.0,9.0,11.0,12.0,10.0,13.0,17.0,14.0,18.0,10.0,10.0,8.0,9.0
Weight,Air Speed,Water Handling,736,Metal Mario,Landship,Slim,Wario Wing,14.0,10.0,14.0,8.0,10.0,13.0,15.0,13.0,14.0,12.0,13.0,8.0,11.0
Weight,Air Speed,Water Handling,1864,Wario,Mach 8,Sponge,Wario Wing,15.0,8.0,11.0,11.0,9.0,15.0,14.0,17.0,20.0,6.0,5.0,7.0,7.0
Weight,Air Speed,Water Handling,1764,Metal Mario,Tanooki Kart,Roller,Wario Wing,15.0,10.0,14.0,12.0,11.0,11.0,15.0,12.0,16.0,12.0,12.0,10.0,11.0
Weight,Air Speed,Water Handling,1865,Bowser,Mach 8,Sponge,Wario Wing,16.0,8.0,12.0,10.0,9.0,15.0,14.0,17.0,20.0,5.0,4.0,6.0,6.0
Weight,Air Speed,Water Handling,1849,Wario,Mach 8,Standard,Wario Wing,16.0,8.0,11.0,10.0,8.0,16.0,16.0,18.0,19.0,7.0,7.0,8.0,7.0
Weight,Air Speed,Water Handling,1830,Metal Mario,Steel Driver,Roller,Wario Wing,16.0,9.0,11.0,8.0,10.0,13.0,16.0,11.0,13.0,9.0,13.0,8.0,9.0
Weight,Air Speed,Water Handling,1528,Wario,Tanooki Kart,Standard,Wario Wing,16.0,7.0,13.0,13.0,7.0,15.0,17.0,16.0,18.0,9.0,9.0,7.0,8.0
Weight,Air Speed,Water Handling,1700,Wario,Tanooki Kart,Slim,Wario Wing,16.0,5.0,15.0,9.0,6.0,16.0,16.0,18.0,17.0,10.0,10.0,7.0,9.0
Weight,Air Speed,Water Handling,1777,Bowser,Tanooki Kart,Slim,Wario Wing,17.0,5.0,16.0,8.0,6.0,16.0,16.0,18.0,17.0,9.0,9.0,6.0,8.0
Weight,Air Speed,Water Handling,1786,Metal Mario,Mach 8,Standard,Wario Wing,17.0,9.0,14.0,10.0,9.0,14.0,14.0,16.0,17.0,9.0,9.0,10.0,9.0
Weight,Air Speed,Water Handling,1855,Bowser,Tanooki Kart,Standard,Wario Wing,17.0,7.0,14.0,12.0,7.0,15.0,17.0,16.0,18.0,8.0,8.0,6.0,7.0
Weight,Air Speed,Water Handling,1561,Metal Mario,Tanooki Kart,Standard,Wario Wing,17.0,8.0,16.0,13.0,8.0,13.0,15.0,14.0,16.0,11.0,11.0,9.0,10.0
Weight,Air Speed,Water Handling,1850,Bowser,Mach 8,Standard,Wario Wing,17.0,8.0,12.0,9.0,8.0,16.0,16.0,18.0,19.0,6.0,6.0,7.0,6.0
Weight,Air Speed,Water Handling,1596,Metal Mario,Tanooki Kart,Slim,Wario Wing,17.0,6.0,18.0,9.0,7.0,14.0,14.0,16.0,15.0,12.0,12.0,9.0,11.0
Weight,Air Speed,Water Handling,1860,Wario,Mach 8,Metal,Wario Wing,18.0,4.0,10.0,7.0,5.0,18.0,16.0,17.0,18.0,6.0,6.0,6.0,4.0
Weight,Air Speed,Water Handling,1873,Metal Mario,Steel Driver,Slim,Wario Wing,18.0,5.0,15.0,5.0,6.0,16.0,15.0,15.0,12.0,9.0,13.0,7.0,9.0
Weight,Air Speed,Water Handling,1890,Metal Mario,Steel Driver,Standard,Wario Wing,18.0,7.0,13.0,9.0,7.0,15.0,16.0,13.0,13.0,8.0,12.0,7.0,8.0
Weight,Air Speed,Water Handling,1795,Wario,Tanooki Kart,Metal,Wario Wing,18.0,3.0,12.0,10.0,4.0,17.0,17.0,15.0,17.0,8.0,8.0,5.0,5.0
Weight,Air Speed,Water Handling,1861,Bowser,Mach 8,Metal,Wario Wing,19.0,4.0,11.0,6.0,5.0,18.0,16.0,17.0,18.0,5.0,5.0,5.0,3.0
Weight,Air Speed,Water Handling,1903,Metal Mario,Tanooki Kart,Metal,Wario Wing,19.0,4.0,15.0,10.0,5.0,15.0,15.0,13.0,15.0,10.0,10.0,7.0,7.0
Weight,Air Speed,Water Handling,1906,Metal Mario,Mach 8,Metal,Wario Wing,19.0,5.0,13.0,7.0,6.0,16.0,14.0,15.0,16.0,8.0,8.0,8.0,6.0
Weight,Air Speed,Water Handling,1852,Bowser,Tanooki Kart,Metal,Wario Wing,19.0,3.0,13.0,9.0,4.0,17.0,17.0,15.0,17.0,7.0,7.0,4.0,4.0
Weight,Air Speed,Water Handling,1908,Metal Mario,Steel Driver,Metal,Wario Wing,20.0,3.0,12.0,6.0,4.0,17.0,16.0,12.0,12.0,7.0,11.0,5.0,5.0
Weight,Air Speed,Water Handling,1897,Bowser,Steel Driver,Metal,Wario Wing,20.0,2.0,10.0,5.0,3.0,19.0,18.0,14.0,14.0,4.0,8.0,2.0,2.0
Weight,Air Speed,Water Handling,1907,Bowser,Badwagon,Metal,Wario Wing,20.0,1.0,11.0,7.0,1.0,20.0,15.0,15.0,15.0,3.0,4.0,2.0,1.0
Weight,Air Speed,Anti-gravity Handling,864,Baby Peach,Blue Falcon,Roller,Super Glider,1.0,14.0,5.0,13.0,15.0,5.0,6.0,4.0,8.0,17.0,17.0,20.0,16.0
Weight,Air Speed,Anti-gravity Handling,643,Koopa Troopa,Blue Falcon,Roller,Super Glider,3.0,14.0,3.0,13.0,14.0,7.0,8.0,6.0,10.0,15.0,15.0,18.0,14.0
Weight,Air Speed,Anti-gravity Handling,621,Baby Peach,Mach 8,Roller,Super Glider,4.0,14.0,6.0,14.0,16.0,4.0,7.0,5.0,9.0,17.0,16.0,19.0,17.0
Weight,Air Speed,Anti-gravity Handling,560,Baby Peach,Mach 8,Standard,Super Glider,6.0,12.0,8.0,15.0,13.0,6.0,7.0,7.0,9.0,16.0,15.0,18.0,16.0
Weight,Air Speed,Anti-gravity Handling,392,Koopa Troopa,Mach 8,Roller,Super Glider,6.0,14.0,4.0,14.0,15.0,6.0,9.0,7.0,11.0,15.0,14.0,17.0,15.0
Weight,Air Speed,Anti-gravity Handling,317,Toad,Mach 8,Roller,Super Glider,7.0,14.0,6.0,13.0,14.0,7.0,10.0,8.0,12.0,14.0,13.0,16.0,14.0
Weight,Air Speed,Anti-gravity Handling,426,Luigi,Blue Falcon,Roller,Super Glider,7.0,12.0,7.0,9.0,12.0,11.0,12.0,10.0,14.0,12.0,12.0,15.0,11.0
Weight,Air Speed,Anti-gravity Handling,485,Baby Peach,Mach 8,Standard,Wario Wing,7.0,12.0,9.0,14.0,13.0,6.0,6.0,8.0,9.0,16.0,16.0,17.0,16.0
Weight,Air Speed,Anti-gravity Handling,155,Koopa Troopa,Mach 8,Standard,Super Glider,8.0,12.0,6.0,15.0,12.0,8.0,9.0,9.0,11.0,14.0,13.0,16.0,14.0
Weight,Air Speed,Anti-gravity Handling,37,Toad,Mach 8,Standard,Super Glider,9.0,12.0,8.0,14.0,11.0,9.0,10.0,10.0,12.0,13.0,12.0,15.0,13.0
Weight,Air Speed,Anti-gravity Handling,78,Luigi,Mach 8,Roller,Super Glider,10.0,12.0,8.0,10.0,13.0,10.0,13.0,11.0,15.0,12.0,11.0,14.0,12.0
Weight,Air Speed,Anti-gravity Handling,284,Metal Mario,Blue Falcon,Roller,Super Glider,11.0,11.0,10.0,9.0,11.0,13.0,14.0,12.0,16.0,10.0,10.0,13.0,9.0
Weight,Air Speed,Anti-gravity Handling,188,Luigi,Mach 8,Standard,Super Glider,12.0,10.0,10.0,11.0,10.0,12.0,13.0,13.0,15.0,11.0,10.0,13.0,11.0
Weight,Air Speed,Anti-gravity Handling,836,Donkey Kong,Mach 8,Roller,Super Glider,12.0,11.0,13.0,9.0,12.0,13.0,16.0,14.0,18.0,9.0,8.0,11.0,9.0
Weight,Air Speed,Anti-gravity Handling,820,Wario,Mach 8,Roller,Super Glider,13.0,10.0,8.0,10.0,11.0,14.0,17.0,15.0,19.0,8.0,7.0,10.0,8.0
Weight,Air Speed,Anti-gravity Handling,707,Metal Mario,Mach 8,Roller,Super Glider,14.0,11.0,11.0,10.0,12.0,12.0,15.0,13.0,17.0,10.0,9.0,12.0,10.0
Weight,Air Speed,Anti-gravity Handling,857,Wario,Mach 8,Sponge,Super Glider,14.0,8.0,10.0,12.0,9.0,15.0,15.0,16.0,20.0,6.0,4.0,8.0,7.0
Weight,Air Speed,Anti-gravity Handling,667,Metal Mario,Mach 8,Sponge,Super Glider,15.0,9.0,13.0,12.0,10.0,13.0,13.0,14.0,18.0,8.0,6.0,10.0,9.0
Weight,Air Speed,Anti-gravity Handling,794,Wario,Mach 8,Standard,Super Glider,15.0,8.0,10.0,11.0,8.0,16.0,17.0,17.0,19.0,7.0,6.0,9.0,7.0
Weight,Air Speed,Anti-gravity Handling,808,Wario,Mach 8,Sponge,Wario Wing,15.0,8.0,11.0,11.0,9.0,15.0,14.0,17.0,20.0,6.0,5.0,7.0,7.0
Weight,Air Speed,Anti-gravity Handling,806,Bowser,Mach 8,Sponge,Super Glider,15.0,8.0,11.0,11.0,9.0,15.0,15.0,16.0,20.0,5.0,3.0,7.0,6.0
Weight,Air Speed,Anti-gravity Handling,724,Metal Mario,Mach 8,Sponge,Wario Wing,16.0,9.0,14.0,11.0,10.0,13.0,12.0,15.0,18.0,8.0,7.0,9.0,9.0
Weight,Air Speed,Anti-gravity Handling,764,Metal Mario,Mach 8,Standard,Super Glider,16.0,9.0,13.0,11.0,9.0,14.0,15.0,15.0,17.0,9.0,8.0,11.0,9.0
Weight,Air Speed,Anti-gravity Handling,797,Bowser,Mach 8,Standard,Super Glider,16.0,8.0,11.0,10.0,8.0,16.0,17.0,17.0,19.0,6.0,5.0,8.0,6.0
Weight,Air Speed,Anti-gravity Handling,800,Wario,Mach 8,Standard,Wario Wing,16.0,8.0,11.0,10.0,8.0,16.0,16.0,18.0,19.0,7.0,7.0,8.0,7.0
Weight,Air Speed,Anti-gravity Handling,809,Bowser,Mach 8,Sponge,Wario Wing,16.0,8.0,12.0,10.0,9.0,15.0,14.0,17.0,20.0,5.0,4.0,6.0,6.0
Weight,Air Speed,Anti-gravity Handling,787,Metal Mario,Mach 8,Standard,Wario Wing,17.0,9.0,14.0,10.0,9.0,14.0,14.0,16.0,17.0,9.0,9.0,10.0,9.0
Weight,Air Speed,Anti-gravity Handling,801,Bowser,Mach 8,Standard,Wario Wing,17.0,8.0,12.0,9.0,8.0,16.0,16.0,18.0,19.0,6.0,6.0,7.0,6.0
Weight,Air Speed,Anti-gravity Handling,804,Wario,Mach 8,Metal,Wario Wing,18.0,4.0,10.0,7.0,5.0,18.0,16.0,17.0,18.0,6.0,6.0,6.0,4.0
Weight,Air Speed,Anti-gravity Handling,736,Metal Mario,Mach 8,Metal,Super Glider,18.0,5.0,12.0,8.0,6.0,16.0,15.0,14.0,16.0,8.0,7.0,9.0,6.0
Weight,Air Speed,Anti-gravity Handling,802,Bowser,Mach 8,Metal,Super Glider,18.0,4.0,10.0,7.0,5.0,18.0,17.0,16.0,18.0,5.0,4.0,6.0,3.0
Weight,Air Speed,Anti-gravity Handling,861,Metal Mario,Mach 8,Metal,Wario Wing,19.0,5.0,13.0,7.0,6.0,16.0,14.0,15.0,16.0,8.0,8.0,8.0,6.0
Weight,Air Speed,Anti-gravity Handling,805,Bowser,Mach 8,Metal,Wario Wing,19.0,4.0,11.0,6.0,5.0,18.0,16.0,17.0,18.0,5.0,5.0,5.0,3.0
Weight,Air Speed,Anti-gravity Handling,811,Metal Mario,Badwagon,Metal,Wario Wing,20.0,2.0,13.0,8.0,2.0,18.0,13.0,13.0,13.0,6.0,7.0,5.0,4.0
Weight,Air Speed,Anti-gravity Handling,862,Bowser,Badwagon,Metal,Wario Wing,20.0,1.0,11.0,7.0,1.0,20.0,15.0,15.0,15.0,3.0,4.0,2.0,1.0
Weight,Air Speed,Air Handling,837,Baby Peach,Cat Cruiser,Roller,Peach Parasol,3.0,17.0,9.0,12.0,18.0,2.0,5.0,4.0,8.0,19.0,17.0,17.0,20.0
Weight,Air Speed,Air Handling,673,Baby Peach,Cat Cruiser,Roller,Wario Wing,4.0,16.0,9.0,12.0,17.0,3.0,5.0,4.0,9.0,19.0,17.0,17.0,19.0
Weight,Air Speed,Air Handling,674,Baby Peach,Cat Cruiser,Sponge,Peach Parasol,4.0,15.0,11.0,14.0,16.0,3.0,3.0,5.0,9.0,17.0,14.0,15.0,19.0
Weight,Air Speed,Air Handling,544,Baby Peach,Cat Cruiser,Sponge,Wario Wing,5.0,14.0,11.0,14.0,15.0,4.0,3.0,5.0,10.0,17.0,14.0,15.0,18.0
Weight,Air Speed,Air Handling,525,Koopa Troopa,Cat Cruiser,Roller,Peach Parasol,5.0,17.0,7.0,12.0,17.0,4.0,7.0,6.0,10.0,17.0,15.0,15.0,18.0
Weight,Air Speed,Air Handling,783,Baby Peach,Cat Cruiser,Slim,Peach Parasol,5.0,13.0,13.0,9.0,14.0,5.0,4.0,8.0,7.0,19.0,17.0,16.0,20.0
Weight,Air Speed,Air Handling,737,Baby Peach,Cat Cruiser,Slim,Wario Wing,6.0,12.0,13.0,9.0,13.0,6.0,4.0,8.0,8.0,19.0,17.0,16.0,19.0
Weight,Air Speed,Air Handling,442,Toad,Cat Cruiser,Roller,Peach Parasol,6.0,17.0,9.0,11.0,16.0,5.0,8.0,7.0,11.0,16.0,14.0,14.0,17.0
Weight,Air Speed,Air Handling,463,Koopa Troopa,Cat Cruiser,Roller,Wario Wing,6.0,16.0,7.0,12.0,16.0,5.0,7.0,6.0,11.0,17.0,15.0,15.0,17.0
Weight,Air Speed,Air Handling,464,Koopa Troopa,Cat Cruiser,Sponge,Peach Parasol,6.0,15.0,9.0,14.0,15.0,5.0,5.0,7.0,11.0,15.0,12.0,13.0,17.0
Weight,Air Speed,Air Handling,388,Toad,Cat Cruiser,Roller,Wario Wing,7.0,16.0,9.0,11.0,15.0,6.0,8.0,7.0,12.0,16.0,14.0,14.0,16.0
Weight,Air Speed,Air Handling,389,Toad,Cat Cruiser,Sponge,Peach Parasol,7.0,15.0,11.0,13.0,14.0,6.0,6.0,8.0,12.0,14.0,11.0,12.0,16.0
Weight,Air Speed,Air Handling,592,Koopa Troopa,Cat Cruiser,Slim,Peach Parasol,7.0,13.0,11.0,9.0,13.0,7.0,6.0,10.0,9.0,17.0,15.0,14.0,18.0
Weight,Air Speed,Air Handling,396,Koopa Troopa,Cat Cruiser,Sponge,Wario Wing,7.0,14.0,9.0,14.0,14.0,6.0,5.0,7.0,12.0,15.0,12.0,13.0,16.0
Weight,Air Speed,Air Handling,306,Toad,Cat Cruiser,Slim,Peach Parasol,8.0,13.0,13.0,8.0,12.0,8.0,7.0,11.0,10.0,16.0,14.0,13.0,17.0
Weight,Air Speed,Air Handling,326,Koopa Troopa,Cat Cruiser,Slim,Wario Wing,8.0,12.0,11.0,9.0,12.0,8.0,6.0,10.0,10.0,17.0,15.0,14.0,17.0
Weight,Air Speed,Air Handling,129,Luigi,Cat Cruiser,Roller,Peach Parasol,9.0,15.0,11.0,8.0,15.0,8.0,11.0,10.0,14.0,14.0,12.0,12.0,15.0
Weight,Air Speed,Air Handling,255,Toad,Cat Cruiser,Slim,Wario Wing,9.0,12.0,13.0,8.0,11.0,9.0,7.0,11.0,11.0,16.0,14.0,13.0,16.0
Weight,Air Speed,Air Handling,183,Luigi,Cat Cruiser,Sponge,Peach Parasol,10.0,13.0,13.0,10.0,13.0,9.0,9.0,11.0,15.0,12.0,9.0,10.0,14.0
Weight,Air Speed,Air Handling,182,Luigi,Cat Cruiser,Roller,Wario Wing,10.0,14.0,11.0,8.0,14.0,9.0,11.0,10.0,15.0,14.0,12.0,12.0,14.0
Weight,Air Speed,Air Handling,73,Luigi,Cat Cruiser,Slim,Peach Parasol,11.0,11.0,15.0,5.0,11.0,11.0,10.0,14.0,13.0,14.0,12.0,11.0,15.0
Weight,Air Speed,Air Handling,10,Luigi,Cat Cruiser,Slim,Wario Wing,12.0,10.0,15.0,5.0,10.0,12.0,10.0,14.0,14.0,14.0,12.0,11.0,14.0
Weight,Air Speed,Air Handling,1327,Wario,Cat Cruiser,Sponge,Peach Parasol,13.0,11.0,13.0,10.0,11.0,13.0,13.0,15.0,19.0,8.0,5.0,6.0,10.0
Weight,Air Speed,Air Handling,1326,Wario,Cat Cruiser,Roller,Wario Wing,13.0,12.0,11.0,8.0,12.0,13.0,15.0,14.0,19.0,10.0,8.0,8.0,10.0
Weight,Air Speed,Air Handling,1322,Donkey Kong,Cat Cruiser,Sponge,Wario Wing,13.0,11.0,18.0,9.0,11.0,13.0,12.0,14.0,19.0,9.0,6.0,7.0,10.0
Weight,Air Speed,Air Handling,1174,Metal Mario,Cat Cruiser,Roller,Peach Parasol,13.0,14.0,14.0,8.0,14.0,10.0,13.0,12.0,16.0,12.0,10.0,10.0,13.0
Weight,Air Speed,Air Handling,922,Metal Mario,Cat Cruiser,Roller,Wario Wing,14.0,13.0,14.0,8.0,13.0,11.0,13.0,12.0,17.0,12.0,10.0,10.0,12.0
Weight,Air Speed,Air Handling,923,Metal Mario,Cat Cruiser,Sponge,Peach Parasol,14.0,12.0,16.0,10.0,12.0,11.0,11.0,13.0,17.0,10.0,7.0,8.0,12.0
Weight,Air Speed,Air Handling,1333,Wario,Cat Cruiser,Sponge,Wario Wing,14.0,10.0,13.0,10.0,10.0,14.0,13.0,15.0,20.0,8.0,5.0,6.0,9.0
Weight,Air Speed,Air Handling,881,Metal Mario,Cat Cruiser,Sponge,Wario Wing,15.0,11.0,16.0,10.0,11.0,12.0,11.0,13.0,18.0,10.0,7.0,8.0,11.0
Weight,Air Speed,Air Handling,1285,Bowser,Cat Cruiser,Sponge,Wario Wing,15.0,10.0,14.0,9.0,10.0,14.0,13.0,15.0,20.0,7.0,4.0,5.0,8.0
Weight,Air Speed,Air Handling,1266,Wario,Cat Cruiser,Standard,Wario Wing,15.0,10.0,13.0,9.0,9.0,15.0,15.0,16.0,19.0,9.0,7.0,7.0,9.0
Weight,Air Speed,Air Handling,1249,Metal Mario,Cat Cruiser,Slim,Peach Parasol,15.0,10.0,18.0,5.0,10.0,13.0,12.0,16.0,15.0,12.0,10.0,9.0,13.0
Weight,Air Speed,Air Handling,1287,Bowser,Mach 8,Sponge,Wario Wing,16.0,8.0,12.0,10.0,9.0,15.0,14.0,17.0,20.0,5.0,4.0,6.0,6.0
Weight,Air Speed,Air Handling,1269,Bowser,Cat Cruiser,Standard,Wario Wing,16.0,10.0,14.0,8.0,9.0,15.0,15.0,16.0,19.0,8.0,6.0,6.0,8.0
Weight,Air Speed,Air Handling,1045,Metal Mario,Cat Cruiser,Standard,Wario Wing,16.0,11.0,16.0,9.0,10.0,13.0,13.0,14.0,17.0,11.0,9.0,9.0,11.0
Weight,Air Speed,Air Handling,1118,Metal Mario,Cat Cruiser,Slim,Wario Wing,16.0,9.0,18.0,5.0,9.0,14.0,12.0,16.0,16.0,12.0,10.0,9.0,12.0
Weight,Air Speed,Air Handling,930,Bowser,Cat Cruiser,Slim,Wario Wing,16.0,8.0,16.0,4.0,8.0,16.0,14.0,18.0,18.0,9.0,7.0,6.0,9.0
Weight,Air Speed,Air Handling,937,Metal Mario,Mach 8,Sponge,Wario Wing,16.0,9.0,14.0,11.0,10.0,13.0,12.0,15.0,18.0,8.0,7.0,9.0,9.0
Weight,Air Speed,Air Handling,1067,Metal Mario,Mach 8,Standard,Wario Wing,17.0,9.0,14.0,10.0,9.0,14.0,14.0,16.0,17.0,9.0,9.0,10.0,9.0
Weight,Air Speed,Air Handling,1272,Bowser,Mach 8,Standard,Wario Wing,17.0,8.0,12.0,9.0,8.0,16.0,16.0,18.0,19.0,6.0,6.0,7.0,6.0
Weight,Air Speed,Air Handling,967,Metal Mario,Mach 8,Slim,Wario Wing,17.0,7.0,16.0,6.0,8.0,15.0,13.0,18.0,16.0,10.0,10.0,10.0,10.0
Weight,Air Speed,Air Handling,1275,Bowser,Mach 8,Slim,Wario Wing,17.0,6.0,14.0,5.0,7.0,17.0,15.0,20.0,18.0,7.0,7.0,7.0,7.0
Weight,Air Speed,Air Handling,1277,Bowser,Tanooki Kart,Standard,Wario Wing,17.0,7.0,14.0,12.0,7.0,15.0,17.0,16.0,18.0,8.0,8.0,6.0,7.0
Weight,Air Speed,Air Handling,969,Metal Mario,Tanooki Kart,Standard,Wario Wing,17.0,8.0,16.0,13.0,8.0,13.0,15.0,14.0,16.0,11.0,11.0,9.0,10.0
Weight,Air Speed,Air Handling,1017,Metal Mario,Tanooki Kart,Slim,Wario Wing,17.0,6.0,18.0,9.0,7.0,14.0,14.0,16.0,15.0,12.0,12.0,9.0,11.0
Weight,Air Speed,Air Handling,1126,Bowser,Cat Cruiser,Monster,Wario Wing,18.0,8.0,15.0,10.0,8.0,15.0,14.0,16.0,17.0,5.0,4.0,3.0,6.0
Weight,Air Speed,Air Handling,1301,Metal Mario,Cat Cruiser,Monster,Wario Wing,18.0,9.0,17.0,11.0,9.0,13.0,12.0,14.0,15.0,8.0,7.0,6.0,9.0
Weight,Air Speed,Air Handling,982,Metal Mario,Cat Cruiser,Metal,Wario Wing,18.0,7.0,15.0,6.0,7.0,15.0,13.0,13.0,16.0,10.0,8.0,7.0,8.0
Weight,Air Speed,Air Handling,1281,Bowser,Cat Cruiser,Metal,Wario Wing,18.0,6.0,13.0,5.0,6.0,17.0,15.0,15.0,18.0,7.0,5.0,4.0,5.0
Weight,Air Speed,Air Handling,1283,Bowser,Mach 8,Metal,Wario Wing,19.0,4.0,11.0,6.0,5.0,18.0,16.0,17.0,18.0,5.0,5.0,5.0,3.0
Weight,Air Speed,Air Handling,1313,Metal Mario,Tanooki Kart,Monster,Wario Wing,19.0,6.0,17.0,15.0,7.0,13.0,14.0,14.0,14.0,8.0,9.0,6.0,8.0
Weight,Air Speed,Air Handling,1341,Metal Mario,Mach 8,Metal,Wario Wing,19.0,5.0,13.0,7.0,6.0,16.0,14.0,15.0,16.0,8.0,8.0,8.0,6.0
Weight,Air Speed,Air Handling,1274,Bowser,Tanooki Kart,Metal,Wario Wing,19.0,3.0,13.0,9.0,4.0,17.0,17.0,15.0,17.0,7.0,7.0,4.0,4.0
Weight,Air Speed,Air Handling,1273,Bowser,Mach 8,Monster,Wario Wing,19.0,6.0,13.0,11.0,7.0,16.0,15.0,18.0,17.0,3.0,4.0,4.0,4.0
Weight,Air Speed,Air Handling,1337,Metal Mario,Mach 8,Monster,Wario Wing,19.0,7.0,15.0,12.0,8.0,14.0,13.0,16.0,15.0,6.0,7.0,7.0,7.0
Weight,Air Speed,Air Handling,1338,Metal Mario,Tanooki Kart,Metal,Wario Wing,19.0,4.0,15.0,10.0,5.0,15.0,15.0,13.0,15.0,10.0,10.0,7.0,7.0
Weight,Air Speed,Air Handling,1342,Bowser,Badwagon,Metal,Wario Wing,20.0,1.0,11.0,7.0,1.0,20.0,15.0,15.0,15.0,3.0,4.0,2.0,1.0
Weight,Air Speed,Air Handling,1343,Metal Mario,Steel Driver,Monster,Wario Wing,20.0,5.0,14.0,11.0,6.0,15.0,15.0,13.0,11.0,5.0,10.0,4.0,6.0
Weight,Air Speed,Air Handling,1305,Metal Mario,Badwagon,Metal,Wario Wing,20.0,2.0,13.0,8.0,2.0,18.0,13.0,13.0,13.0,6.0,7.0,5.0,4.0
Weight,Air Speed,Air Handling,1314,Bowser,Steel Driver,Metal,Wario Wing,20.0,2.0,10.0,5.0,3.0,19.0,18.0,14.0,14.0,4.0,8.0,2.0,2.0
Weight,Air Speed,Air Handling,1344,Metal Mario,Steel Driver,Metal,Wario Wing,20.0,3.0,12.0,6.0,4.0,17.0,16.0,12.0,12.0,7.0,11.0,5.0,5.0
Weight,Air Speed,Air Handling,1315,Bowser,Badwagon,Monster,Wario Wing,20.0,3.0,13.0,12.0,3.0,18.0,14.0,16.0,14.0,1.0,3.0,1.0,2.0
Weight,Air Speed,Air Handling,1345,Metal Mario,Badwagon,Monster,Wario Wing,20.0,4.0,15.0,13.0,4.0,16.0,12.0,14.0,12.0,4.0,6.0,4.0,5.0
