Coord1,Coord2,Ind,Character,Kart,Wheel,Glider,Weight,Acceleration,On-road Traction,Off-road Traction,Mini-Turbo,Ground Speed,Water Speed,Anti-gravity Speed,Air Speed,Ground Handling,Water Handling,Anti-gravity Handling,Air Handling
On-road Traction,Water Speed,1356,Donkey Kong,Tanooki Kart,Off-Road,Super Glider,15.0,7.0,18.0,14.0,8.0,15.0,18.0,14.0,15.0,8.0,7.0,8.0,8.0
On-road Traction,Water Speed,1357,Donkey Kong,Tanooki Kart,Off-Road,Cloud Glider,14.0,8.0,18.0,14.0,9.0,14.0,18.0,15.0,14.0,8.0,7.0,8.0,9.0
On-road Traction,Water Speed,1430,Donkey Kong,Tanooki Kart,Off-Road,Wario Wing,16.0,7.0,19.0,13.0,8.0,15.0,17.0,15.0,15.0,8.0,8.0,7.0,8.0
On-road Traction,Water Speed,1431,Donkey Kong,Tanooki Kart,Off-Road,Peach Parasol,15.0,8.0,19.0,13.0,9.0,14.0,17.0,15.0,14.0,8.0,8.0,7.0,9.0
On-road Traction,Water Speed,1444,Donkey Kong,Tanooki Kart,Slim,Wario Wing,15.0,6.0,20.0,8.0,9.0,15.0,15.0,17.0,16.0,11.0,11.0,8.0,10.0
On-road Traction,Water Speed,1445,Donkey Kong,Tanooki Kart,Slim,Peach Parasol,14.0,7.0,20.0,8.0,10.0,14.0,15.0,17.0,15.0,11.0,11.0,8.0,11.0
On-road Traction,Anti-gravity Speed,64,Bowser,Mach 8,Slim,Wario Wing,17.0,6.0,14.0,5.0,9.0,17.0,15.0,20.0,18.0,7.0,7.0,7.0,7.0
On-road Traction,Anti-gravity Speed,65,Bowser,Mach 8,Slim,Peach Parasol,16.0,7.0,14.0,5.0,10.0,16.0,15.0,20.0,17.0,7.0,7.0,7.0,8.0
On-road Traction,Anti-gravity Speed,66,Bowser,Mach 8,Slick,Wario Wing,18.0,5.0,14.0,4.0,7.0,18.0,13.0,20.0,16.0,5.0,3.0,6.0,4.0
On-road Traction,Anti-gravity Speed,67,Bowser,Mach 8,Slick,Peach Parasol,17.0,6.0,14.0,4.0,8.0,17.0,13.0,20.0,15.0,5.0,3.0,6.0,5.0
On-road Traction,Anti-gravity Speed,508,Donkey Kong,Mach 8,Slim,Wario Wing,15.0,7.0,18.0,5.0,10.0,16.0,14.0,19.0,17.0,9.0,9.0,9.0,9.0
On-road Traction,Anti-gravity Speed,509,Donkey Kong,Mach 8,Slim,Peach Parasol,14.0,8.0,18.0,5.0,11.0,15.0,14.0,19.0,16.0,9.0,9.0,9.0,10.0
On-road Traction,Anti-gravity Speed,510,Donkey Kong,Mach 8,Slick,Wario Wing,16.0,6.0,18.0,4.0,8.0,17.0,12.0,19.0,15.0,7.0,5.0,8.0,6.0
On-road Traction,Anti-gravity Speed,511,Donkey Kong,Mach 8,Slick,Peach Parasol,15.0,7.0,18.0,4.0,9.0,16.0,12.0,19.0,14.0,7.0,5.0,8.0,7.0
On-road Traction,Anti-gravity Speed,611,Donkey Kong,Standard Bike,Slick,Peach Parasol,13.0,9.0,19.0,5.0,9.0,15.0,11.0,18.0,13.0,9.0,6.0,8.0,8.0
On-road Traction,Anti-gravity Speed,610,Donkey Kong,Standard Bike,Slick,Wario Wing,14.0,8.0,19.0,5.0,8.0,16.0,11.0,18.0,14.0,9.0,6.0,8.0,7.0
On-road Traction,Anti-gravity Speed,609,Donkey Kong,Standard Bike,Slim,Peach Parasol,12.0,10.0,19.0,6.0,11.0,14.0,13.0,18.0,15.0,11.0,10.0,9.0,11.0
On-road Traction,Anti-gravity Speed,608,Donkey Kong,Standard Bike,Slim,Wario Wing,13.0,9.0,19.0,6.0,10.0,15.0,13.0,18.0,16.0,11.0,10.0,9.0,10.0
On-road Traction,Anti-gravity Speed,607,Donkey Kong,Circuit Special,Slick,Peach Parasol,15.0,5.0,19.0,1.0,6.0,18.0,10.0,18.0,12.0,6.0,4.0,6.0,5.0
On-road Traction,Anti-gravity Speed,606,Donkey Kong,Circuit Special,Slick,Wario Wing,16.0,4.0,19.0,1.0,5.0,19.0,10.0,18.0,13.0,6.0,4.0,6.0,4.0
On-road Traction,Anti-gravity Speed,605,Donkey Kong,Circuit Special,Slim,Peach Parasol,14.0,6.0,19.0,2.0,8.0,17.0,12.0,18.0,14.0,8.0,8.0,7.0,8.0
On-road Traction,Anti-gravity Speed,604,Donkey Kong,Circuit Special,Slim,Wario Wing,15.0,5.0,19.0,2.0,7.0,18.0,12.0,18.0,15.0,8.0,8.0,7.0,7.0
On-road Traction,Anti-gravity Speed,628,Donkey Kong,Cat Cruiser,Slim,Wario Wing,14.0,9.0,20.0,4.0,11.0,15.0,13.0,17.0,17.0,11.0,9.0,8.0,11.0
On-road Traction,Anti-gravity Speed,629,Donkey Kong,Cat Cruiser,Slim,Peach Parasol,13.0,10.0,20.0,4.0,12.0,14.0,13.0,17.0,16.0,11.0,9.0,8.0,12.0
On-road Traction,Anti-gravity Speed,630,Donkey Kong,Cat Cruiser,Slick,Wario Wing,15.0,8.0,20.0,3.0,9.0,16.0,11.0,17.0,15.0,9.0,5.0,7.0,8.0
On-road Traction,Anti-gravity Speed,631,Donkey Kong,Cat Cruiser,Slick,Peach Parasol,14.0,9.0,20.0,3.0,10.0,15.0,11.0,17.0,14.0,9.0,5.0,7.0,9.0
On-road Traction,Anti-gravity Speed,632,Donkey Kong,Tanooki Kart,Slim,Wario Wing,15.0,6.0,20.0,8.0,9.0,15.0,15.0,17.0,16.0,11.0,11.0,8.0,10.0
On-road Traction,Anti-gravity Speed,633,Donkey Kong,Tanooki Kart,Slim,Peach Parasol,14.0,7.0,20.0,8.0,10.0,14.0,15.0,17.0,15.0,11.0,11.0,8.0,11.0
On-road Traction,Anti-gravity Speed,634,Donkey Kong,Tanooki Kart,Slick,Wario Wing,16.0,5.0,20.0,7.0,7.0,16.0,13.0,17.0,14.0,9.0,7.0,7.0,7.0
On-road Traction,Anti-gravity Speed,635,Donkey Kong,Tanooki Kart,Slick,Peach Parasol,15.0,6.0,20.0,7.0,8.0,15.0,13.0,17.0,13.0,9.0,7.0,7.0,8.0
On-road Traction,Air Speed,74,Bowser,Cat Cruiser,Sponge,Wario Wing,15.0,10.0,14.0,9.0,12.0,14.0,13.0,15.0,20.0,7.0,4.0,5.0,8.0
On-road Traction,Air Speed,518,Donkey Kong,Cat Cruiser,Sponge,Wario Wing,13.0,11.0,18.0,9.0,13.0,13.0,12.0,14.0,19.0,9.0,6.0,7.0,10.0
On-road Traction,Air Speed,588,Donkey Kong,Cat Cruiser,Slim,Wario Wing,14.0,9.0,20.0,4.0,11.0,15.0,13.0,17.0,17.0,11.0,9.0,8.0,11.0
On-road Traction,Ground Handling,586,Baby Peach,Pipe Frame,Slim,Wario Wing,5.0,13.0,12.0,10.0,15.0,6.0,6.0,7.0,6.0,20.0,19.0,17.0,17.0
On-road Traction,Ground Handling,587,Baby Peach,Pipe Frame,Slim,Peach Parasol,4.0,14.0,12.0,10.0,16.0,5.0,6.0,7.0,5.0,20.0,19.0,17.0,18.0
On-road Traction,Ground Handling,1248,Baby Peach,Cat Cruiser,Slim,Wario Wing,6.0,12.0,13.0,9.0,15.0,7.0,5.0,9.0,9.0,19.0,17.0,16.0,19.0
On-road Traction,Ground Handling,1249,Baby Peach,Cat Cruiser,Slim,Peach Parasol,5.0,13.0,13.0,9.0,16.0,6.0,5.0,9.0,8.0,19.0,17.0,16.0,20.0
On-road Traction,Ground Handling,1252,Baby Peach,Tanooki Kart,Slim,Wario Wing,7.0,9.0,13.0,13.0,13.0,7.0,7.0,9.0,8.0,19.0,19.0,16.0,18.0
On-road Traction,Ground Handling,1253,Baby Peach,Tanooki Kart,Slim,Peach Parasol,6.0,10.0,13.0,13.0,14.0,6.0,7.0,9.0,7.0,19.0,19.0,16.0,19.0
On-road Traction,Ground Handling,1260,Baby Rosalina,Pipe Frame,Slim,Wario Wing,5.0,14.0,13.0,8.0,15.0,6.0,6.0,7.0,6.0,19.0,18.0,16.0,16.0
On-road Traction,Ground Handling,1261,Baby Rosalina,Pipe Frame,Slim,Peach Parasol,4.0,15.0,13.0,8.0,16.0,5.0,6.0,7.0,5.0,19.0,18.0,16.0,17.0
On-road Traction,Ground Handling,1792,Baby Rosalina,Cat Cruiser,Slim,Wario Wing,6.0,13.0,14.0,7.0,15.0,7.0,5.0,9.0,9.0,18.0,16.0,15.0,18.0
On-road Traction,Ground Handling,1793,Baby Rosalina,Cat Cruiser,Slim,Peach Parasol,5.0,14.0,14.0,7.0,16.0,6.0,5.0,9.0,8.0,18.0,16.0,15.0,19.0
On-road Traction,Ground Handling,1796,Baby Rosalina,Tanooki Kart,Slim,Wario Wing,7.0,10.0,14.0,11.0,13.0,7.0,7.0,9.0,8.0,18.0,18.0,15.0,17.0
On-road Traction,Ground Handling,1797,Baby Rosalina,Tanooki Kart,Slim,Peach Parasol,6.0,11.0,14.0,11.0,14.0,6.0,7.0,9.0,7.0,18.0,18.0,15.0,18.0
On-road Traction,Ground Handling,2140,Tanooki Mario,Pipe Frame,Slim,Wario Wing,10.0,12.0,16.0,6.0,13.0,11.0,11.0,12.0,11.0,15.0,14.0,12.0,12.0
On-road Traction,Ground Handling,2141,Tanooki Mario,Pipe Frame,Slim,Peach Parasol,9.0,13.0,16.0,6.0,14.0,10.0,11.0,12.0,10.0,15.0,14.0,12.0,13.0
On-road Traction,Ground Handling,2345,Tanooki Mario,Tanooki Kart,Slim,Peach Parasol,11.0,9.0,17.0,9.0,12.0,11.0,12.0,14.0,12.0,14.0,14.0,11.0,14.0
On-road Traction,Ground Handling,2344,Tanooki Mario,Tanooki Kart,Slim,Wario Wing,12.0,8.0,17.0,9.0,11.0,12.0,12.0,14.0,13.0,14.0,14.0,11.0,13.0
On-road Traction,Ground Handling,2340,Tanooki Mario,Cat Cruiser,Slim,Wario Wing,11.0,11.0,17.0,5.0,13.0,12.0,10.0,14.0,14.0,14.0,12.0,11.0,14.0
On-road Traction,Ground Handling,2341,Tanooki Mario,Cat Cruiser,Slim,Peach Parasol,10.0,12.0,17.0,5.0,14.0,11.0,10.0,14.0,13.0,14.0,12.0,11.0,15.0
On-road Traction,Ground Handling,2408,Rosalina,Pipe Frame,Slim,Wario Wing,12.0,10.0,18.0,8.0,12.0,13.0,13.0,14.0,13.0,13.0,12.0,10.0,10.0
On-road Traction,Ground Handling,2409,Rosalina,Pipe Frame,Slim,Peach Parasol,11.0,11.0,18.0,8.0,13.0,12.0,13.0,14.0,12.0,13.0,12.0,10.0,11.0
On-road Traction,Ground Handling,2448,Donkey Kong,Pipe Frame,Slim,Wario Wing,13.0,10.0,19.0,5.0,11.0,14.0,14.0,15.0,14.0,12.0,11.0,9.0,9.0
On-road Traction,Ground Handling,2449,Donkey Kong,Pipe Frame,Slim,Peach Parasol,12.0,11.0,19.0,5.0,12.0,13.0,14.0,15.0,13.0,12.0,11.0,9.0,10.0
On-road Traction,Ground Handling,2476,Rosalina,Cat Cruiser,Slim,Wario Wing,13.0,9.0,19.0,7.0,12.0,14.0,12.0,16.0,16.0,12.0,10.0,9.0,12.0
On-road Traction,Ground Handling,2477,Rosalina,Cat Cruiser,Slim,Peach Parasol,12.0,10.0,19.0,7.0,13.0,13.0,12.0,16.0,15.0,12.0,10.0,9.0,13.0
On-road Traction,Ground Handling,2480,Rosalina,Tanooki Kart,Slim,Wario Wing,14.0,6.0,19.0,11.0,10.0,14.0,14.0,16.0,15.0,12.0,12.0,9.0,11.0
On-road Traction,Ground Handling,2481,Rosalina,Tanooki Kart,Slim,Peach Parasol,13.0,7.0,19.0,11.0,11.0,13.0,14.0,16.0,14.0,12.0,12.0,9.0,12.0
On-road Traction,Ground Handling,2488,Donkey Kong,Tanooki Kart,Slim,Wario Wing,15.0,6.0,20.0,8.0,9.0,15.0,15.0,17.0,16.0,11.0,11.0,8.0,10.0
On-road Traction,Ground Handling,2484,Donkey Kong,Cat Cruiser,Slim,Wario Wing,14.0,9.0,20.0,4.0,11.0,15.0,13.0,17.0,17.0,11.0,9.0,8.0,11.0
On-road Traction,Ground Handling,2485,Donkey Kong,Cat Cruiser,Slim,Peach Parasol,13.0,10.0,20.0,4.0,12.0,14.0,13.0,17.0,16.0,11.0,9.0,8.0,12.0
On-road Traction,Ground Handling,2489,Donkey Kong,Tanooki Kart,Slim,Peach Parasol,14.0,7.0,20.0,8.0,10.0,14.0,15.0,17.0,15.0,11.0,11.0,8.0,11.0
On-road Traction,Water Handling,758,Baby Peach,Steel Driver,Slim,Wario Wing,8.0,8.0,10.0,9.0,12.0,9.0,8.0,8.0,5.0,16.0,20.0,14.0,16.0
On-road Traction,Water Handling,759,Baby Peach,Steel Driver,Slim,Peach Parasol,7.0,9.0,10.0,9.0,13.0,8.0,8.0,8.0,4.0,16.0,20.0,14.0,17.0
On-road Traction,Water Handling,1502,Baby Peach,Tanooki Kart,Slim,Wario Wing,7.0,9.0,13.0,13.0,13.0,7.0,7.0,9.0,8.0,19.0,19.0,16.0,18.0
On-road Traction,Water Handling,1503,Baby Peach,Tanooki Kart,Slim,Peach Parasol,6.0,10.0,13.0,13.0,14.0,6.0,7.0,9.0,7.0,19.0,19.0,16.0,19.0
On-road Traction,Water Handling,2046,Baby Rosalina,Tanooki Kart,Slim,Wario Wing,7.0,10.0,14.0,11.0,13.0,7.0,7.0,9.0,8.0,18.0,18.0,15.0,17.0
On-road Traction,Water Handling,2047,Baby Rosalina,Tanooki Kart,Slim,Peach Parasol,6.0,11.0,14.0,11.0,14.0,6.0,7.0,9.0,7.0,18.0,18.0,15.0,18.0
On-road Traction,Water Handling,2310,Tanooki Mario,Tanooki Kart,Slim,Wario Wing,12.0,8.0,17.0,9.0,11.0,12.0,12.0,14.0,13.0,14.0,14.0,11.0,13.0
On-road Traction,Water Handling,2311,Tanooki Mario,Tanooki Kart,Slim,Peach Parasol,11.0,9.0,17.0,9.0,12.0,11.0,12.0,14.0,12.0,14.0,14.0,11.0,14.0
On-road Traction,Water Handling,2350,Rosalina,Tanooki Kart,Slim,Wario Wing,14.0,6.0,19.0,11.0,10.0,14.0,14.0,16.0,15.0,12.0,12.0,9.0,11.0
On-road Traction,Water Handling,2351,Rosalina,Tanooki Kart,Slim,Peach Parasol,13.0,7.0,19.0,11.0,11.0,13.0,14.0,16.0,14.0,12.0,12.0,9.0,12.0
On-road Traction,Water Handling,2358,Donkey Kong,Tanooki Kart,Slim,Wario Wing,15.0,6.0,20.0,8.0,9.0,15.0,15.0,17.0,16.0,11.0,11.0,8.0,10.0
On-road Traction,Water Handling,2359,Donkey Kong,Tanooki Kart,Slim,Peach Parasol,14.0,7.0,20.0,8.0,10.0,14.0,15.0,17.0,15.0,11.0,11.0,8.0,11.0
On-road Traction,Anti-gravity Handling,3620,Baby Peach,Biddybuggy,Button,Super Glider,1.0,17.0,6.0,13.0,18.0,3.0,5.0,5.0,6.0,19.0,17.0,20.0,17.0
On-road Traction,Anti-gravity Handling,3621,Baby Peach,Biddybuggy,Button,Cloud Glider,0.0,18.0,6.0,13.0,19.0,2.0,5.0,6.0,5.0,19.0,17.0,20.0,18.0
On-road Traction,Anti-gravity Handling,3640,Baby Peach,Blue Falcon,Button,Super Glider,1.0,13.0,6.0,12.0,15.0,7.0,6.0,7.0,8.0,16.0,16.0,20.0,14.0
On-road Traction,Anti-gravity Handling,3641,Baby Peach,Blue Falcon,Button,Cloud Glider,0.0,14.0,6.0,12.0,16.0,6.0,6.0,8.0,7.0,16.0,16.0,20.0,15.0
On-road Traction,Anti-gravity Handling,2495,Baby Peach,Blue Falcon,Slim,Cloud Glider,2.0,11.0,9.0,10.0,14.0,8.0,6.0,10.0,7.0,17.0,17.0,19.0,17.0
On-road Traction,Anti-gravity Handling,2494,Baby Peach,Blue Falcon,Slim,Super Glider,3.0,10.0,9.0,10.0,13.0,9.0,6.0,9.0,8.0,17.0,17.0,19.0,16.0
On-road Traction,Anti-gravity Handling,2467,Baby Peach,Biddybuggy,Slim,Cloud Glider,2.0,15.0,9.0,11.0,17.0,4.0,5.0,8.0,5.0,20.0,18.0,19.0,20.0
On-road Traction,Anti-gravity Handling,2466,Baby Peach,Biddybuggy,Slim,Super Glider,3.0,14.0,9.0,11.0,16.0,5.0,5.0,7.0,6.0,20.0,18.0,19.0,19.0
On-road Traction,Anti-gravity Handling,690,Baby Peach,Pipe Frame,Slim,Super Glider,4.0,13.0,11.0,11.0,15.0,6.0,7.0,6.0,6.0,20.0,18.0,18.0,17.0
On-road Traction,Anti-gravity Handling,691,Baby Peach,Pipe Frame,Slim,Cloud Glider,3.0,14.0,11.0,11.0,16.0,5.0,7.0,7.0,5.0,20.0,18.0,18.0,18.0
On-road Traction,Anti-gravity Handling,722,Baby Peach,Standard Bike,Slim,Super Glider,4.0,12.0,11.0,12.0,14.0,7.0,6.0,9.0,8.0,19.0,17.0,18.0,18.0
On-road Traction,Anti-gravity Handling,723,Baby Peach,Standard Bike,Slim,Cloud Glider,3.0,13.0,11.0,12.0,15.0,6.0,6.0,10.0,7.0,19.0,17.0,18.0,19.0
On-road Traction,Anti-gravity Handling,1577,Baby Rosalina,Standard Bike,Slim,Cloud Glider,3.0,14.0,12.0,10.0,15.0,6.0,6.0,10.0,7.0,18.0,16.0,17.0,18.0
On-road Traction,Anti-gravity Handling,1576,Baby Rosalina,Standard Bike,Slim,Super Glider,4.0,13.0,12.0,10.0,14.0,7.0,6.0,9.0,8.0,18.0,16.0,17.0,17.0
On-road Traction,Anti-gravity Handling,1545,Baby Rosalina,Pipe Frame,Slim,Cloud Glider,3.0,15.0,12.0,9.0,16.0,5.0,7.0,7.0,5.0,19.0,17.0,17.0,17.0
On-road Traction,Anti-gravity Handling,1544,Baby Rosalina,Pipe Frame,Slim,Super Glider,4.0,14.0,12.0,9.0,15.0,6.0,7.0,6.0,6.0,19.0,17.0,17.0,16.0
On-road Traction,Anti-gravity Handling,1529,Baby Peach,Tanooki Kart,Slim,Cloud Glider,5.0,10.0,12.0,14.0,14.0,6.0,8.0,9.0,7.0,19.0,18.0,17.0,19.0
On-road Traction,Anti-gravity Handling,1528,Baby Peach,Tanooki Kart,Slim,Super Glider,6.0,9.0,12.0,14.0,13.0,7.0,8.0,8.0,8.0,19.0,18.0,17.0,18.0
On-road Traction,Anti-gravity Handling,1523,Baby Peach,Standard Bike,Slim,Peach Parasol,4.0,13.0,12.0,11.0,15.0,6.0,5.0,10.0,7.0,19.0,18.0,17.0,19.0
On-road Traction,Anti-gravity Handling,1522,Baby Peach,Standard Bike,Slim,Wario Wing,5.0,12.0,12.0,11.0,14.0,7.0,5.0,10.0,8.0,19.0,18.0,17.0,18.0
On-road Traction,Anti-gravity Handling,1513,Baby Peach,Cat Cruiser,Slim,Cloud Glider,4.0,13.0,12.0,10.0,16.0,6.0,6.0,9.0,8.0,19.0,16.0,17.0,20.0
On-road Traction,Anti-gravity Handling,1512,Baby Peach,Cat Cruiser,Slim,Super Glider,5.0,12.0,12.0,10.0,15.0,7.0,6.0,8.0,9.0,19.0,16.0,17.0,19.0
On-road Traction,Anti-gravity Handling,1507,Baby Peach,Pipe Frame,Slim,Peach Parasol,4.0,14.0,12.0,10.0,16.0,5.0,6.0,7.0,5.0,20.0,19.0,17.0,18.0
On-road Traction,Anti-gravity Handling,1506,Baby Peach,Pipe Frame,Slim,Wario Wing,5.0,13.0,12.0,10.0,15.0,6.0,6.0,7.0,6.0,20.0,19.0,17.0,17.0
On-road Traction,Anti-gravity Handling,3211,Baby Rosalina,Tanooki Kart,Slim,Cloud Glider,5.0,11.0,13.0,12.0,14.0,6.0,8.0,9.0,7.0,18.0,17.0,16.0,18.0
On-road Traction,Anti-gravity Handling,3210,Baby Rosalina,Tanooki Kart,Slim,Super Glider,6.0,10.0,13.0,12.0,13.0,7.0,8.0,8.0,8.0,18.0,17.0,16.0,17.0
On-road Traction,Anti-gravity Handling,3205,Baby Rosalina,Standard Bike,Slim,Peach Parasol,4.0,14.0,13.0,9.0,15.0,6.0,5.0,10.0,7.0,18.0,17.0,16.0,18.0
On-road Traction,Anti-gravity Handling,3204,Baby Rosalina,Standard Bike,Slim,Wario Wing,5.0,13.0,13.0,9.0,14.0,7.0,5.0,10.0,8.0,18.0,17.0,16.0,17.0
On-road Traction,Anti-gravity Handling,3176,Baby Peach,Cat Cruiser,Slim,Wario Wing,6.0,12.0,13.0,9.0,15.0,7.0,5.0,9.0,9.0,19.0,17.0,16.0,19.0
On-road Traction,Anti-gravity Handling,3194,Baby Rosalina,Cat Cruiser,Slim,Super Glider,5.0,13.0,13.0,8.0,15.0,7.0,6.0,8.0,9.0,18.0,15.0,16.0,18.0
On-road Traction,Anti-gravity Handling,3189,Baby Rosalina,Pipe Frame,Slim,Peach Parasol,4.0,15.0,13.0,8.0,16.0,5.0,6.0,7.0,5.0,19.0,18.0,16.0,17.0
On-road Traction,Anti-gravity Handling,3188,Baby Rosalina,Pipe Frame,Slim,Wario Wing,5.0,14.0,13.0,8.0,15.0,6.0,6.0,7.0,6.0,19.0,18.0,16.0,16.0
On-road Traction,Anti-gravity Handling,3181,Baby Peach,Tanooki Kart,Slim,Peach Parasol,6.0,10.0,13.0,13.0,14.0,6.0,7.0,9.0,7.0,19.0,19.0,16.0,19.0
On-road Traction,Anti-gravity Handling,3180,Baby Peach,Tanooki Kart,Slim,Wario Wing,7.0,9.0,13.0,13.0,13.0,7.0,7.0,9.0,8.0,19.0,19.0,16.0,18.0
On-road Traction,Anti-gravity Handling,3177,Baby Peach,Cat Cruiser,Slim,Peach Parasol,5.0,13.0,13.0,9.0,16.0,6.0,5.0,9.0,8.0,19.0,17.0,16.0,20.0
On-road Traction,Anti-gravity Handling,3195,Baby Rosalina,Cat Cruiser,Slim,Cloud Glider,4.0,14.0,13.0,8.0,16.0,6.0,6.0,9.0,8.0,18.0,15.0,16.0,19.0
On-road Traction,Anti-gravity Handling,4131,Baby Rosalina,Tanooki Kart,Slim,Peach Parasol,6.0,11.0,14.0,11.0,14.0,6.0,7.0,9.0,7.0,18.0,18.0,15.0,18.0
On-road Traction,Anti-gravity Handling,4126,Baby Rosalina,Cat Cruiser,Slim,Wario Wing,6.0,13.0,14.0,7.0,15.0,7.0,5.0,9.0,9.0,18.0,16.0,15.0,18.0
On-road Traction,Anti-gravity Handling,4127,Baby Rosalina,Cat Cruiser,Slim,Peach Parasol,5.0,14.0,14.0,7.0,16.0,6.0,5.0,9.0,8.0,18.0,16.0,15.0,19.0
On-road Traction,Anti-gravity Handling,4130,Baby Rosalina,Tanooki Kart,Slim,Wario Wing,7.0,10.0,14.0,11.0,13.0,7.0,7.0,9.0,8.0,18.0,18.0,15.0,17.0
On-road Traction,Anti-gravity Handling,4588,Tanooki Mario,Standard Bike,Slim,Super Glider,9.0,11.0,15.0,8.0,12.0,12.0,11.0,14.0,13.0,14.0,12.0,13.0,13.0
On-road Traction,Anti-gravity Handling,4589,Tanooki Mario,Standard Bike,Slim,Cloud Glider,8.0,12.0,15.0,8.0,13.0,11.0,11.0,15.0,12.0,14.0,12.0,13.0,14.0
On-road Traction,Anti-gravity Handling,4556,Tanooki Mario,Pipe Frame,Slim,Super Glider,9.0,12.0,15.0,7.0,13.0,11.0,12.0,11.0,11.0,15.0,13.0,13.0,12.0
On-road Traction,Anti-gravity Handling,4557,Tanooki Mario,Pipe Frame,Slim,Cloud Glider,8.0,13.0,15.0,7.0,14.0,10.0,12.0,12.0,10.0,15.0,13.0,13.0,13.0
On-road Traction,Anti-gravity Handling,4858,Tanooki Mario,Pipe Frame,Slim,Wario Wing,10.0,12.0,16.0,6.0,13.0,11.0,11.0,12.0,11.0,15.0,14.0,12.0,12.0
On-road Traction,Anti-gravity Handling,4859,Tanooki Mario,Pipe Frame,Slim,Peach Parasol,9.0,13.0,16.0,6.0,14.0,10.0,11.0,12.0,10.0,15.0,14.0,12.0,13.0
On-road Traction,Anti-gravity Handling,4864,Tanooki Mario,Cat Cruiser,Slim,Super Glider,10.0,11.0,16.0,6.0,13.0,12.0,11.0,13.0,14.0,14.0,11.0,12.0,14.0
On-road Traction,Anti-gravity Handling,4865,Tanooki Mario,Cat Cruiser,Slim,Cloud Glider,9.0,12.0,16.0,6.0,14.0,11.0,11.0,14.0,13.0,14.0,11.0,12.0,15.0
On-road Traction,Anti-gravity Handling,4874,Tanooki Mario,Standard Bike,Slim,Wario Wing,10.0,11.0,16.0,7.0,12.0,12.0,10.0,15.0,13.0,14.0,13.0,12.0,13.0
On-road Traction,Anti-gravity Handling,4875,Tanooki Mario,Standard Bike,Slim,Peach Parasol,9.0,12.0,16.0,7.0,13.0,11.0,10.0,15.0,12.0,14.0,13.0,12.0,14.0
On-road Traction,Anti-gravity Handling,4880,Tanooki Mario,Tanooki Kart,Slim,Super Glider,11.0,8.0,16.0,10.0,11.0,12.0,13.0,13.0,13.0,14.0,13.0,12.0,13.0
On-road Traction,Anti-gravity Handling,4881,Tanooki Mario,Tanooki Kart,Slim,Cloud Glider,10.0,9.0,16.0,10.0,12.0,11.0,13.0,14.0,12.0,14.0,13.0,12.0,14.0
On-road Traction,Anti-gravity Handling,5063,Tanooki Mario,Tanooki Kart,Slim,Peach Parasol,11.0,9.0,17.0,9.0,12.0,11.0,12.0,14.0,12.0,14.0,14.0,11.0,14.0
On-road Traction,Anti-gravity Handling,5062,Tanooki Mario,Tanooki Kart,Slim,Wario Wing,12.0,8.0,17.0,9.0,11.0,12.0,12.0,14.0,13.0,14.0,14.0,11.0,13.0
On-road Traction,Anti-gravity Handling,5059,Tanooki Mario,Cat Cruiser,Slim,Peach Parasol,10.0,12.0,17.0,5.0,14.0,11.0,10.0,14.0,13.0,14.0,12.0,11.0,15.0
On-road Traction,Anti-gravity Handling,5058,Tanooki Mario,Cat Cruiser,Slim,Wario Wing,11.0,11.0,17.0,5.0,13.0,12.0,10.0,14.0,14.0,14.0,12.0,11.0,14.0
On-road Traction,Anti-gravity Handling,4981,Rosalina,Pipe Frame,Slim,Cloud Glider,10.0,11.0,17.0,9.0,13.0,12.0,14.0,14.0,12.0,13.0,11.0,11.0,11.0
On-road Traction,Anti-gravity Handling,5012,Rosalina,Standard Bike,Slim,Super Glider,11.0,9.0,17.0,10.0,11.0,14.0,13.0,16.0,15.0,12.0,10.0,11.0,11.0
On-road Traction,Anti-gravity Handling,4980,Rosalina,Pipe Frame,Slim,Super Glider,11.0,10.0,17.0,9.0,12.0,13.0,14.0,13.0,13.0,13.0,11.0,11.0,10.0
On-road Traction,Anti-gravity Handling,5013,Rosalina,Standard Bike,Slim,Cloud Glider,10.0,10.0,17.0,10.0,12.0,13.0,13.0,17.0,14.0,12.0,10.0,11.0,12.0
On-road Traction,Anti-gravity Handling,5149,Rosalina,Tanooki Kart,Slim,Cloud Glider,12.0,7.0,18.0,12.0,11.0,13.0,15.0,16.0,14.0,12.0,11.0,10.0,12.0
On-road Traction,Anti-gravity Handling,5148,Rosalina,Tanooki Kart,Slim,Super Glider,13.0,6.0,18.0,12.0,10.0,14.0,15.0,15.0,15.0,12.0,11.0,10.0,11.0
On-road Traction,Anti-gravity Handling,5143,Rosalina,Standard Bike,Slim,Peach Parasol,11.0,10.0,18.0,9.0,12.0,13.0,12.0,17.0,14.0,12.0,11.0,10.0,12.0
On-road Traction,Anti-gravity Handling,5142,Rosalina,Standard Bike,Slim,Wario Wing,12.0,9.0,18.0,9.0,11.0,14.0,12.0,17.0,15.0,12.0,11.0,10.0,11.0
On-road Traction,Anti-gravity Handling,5133,Rosalina,Cat Cruiser,Slim,Cloud Glider,11.0,10.0,18.0,8.0,13.0,13.0,13.0,16.0,15.0,12.0,9.0,10.0,13.0
