,Weight,Acceleration,On-road Traction,Off-road Traction,Mini-Turbo,Ground Speed,Water Speed,Anti-gravity Speed,Air Speed,Ground Handling,Water Handling,Anti-gravity Handling,Air Handling,Character,Kart,Wheel,Glider
5226,4.0,13.0,8.0,6.0,15.0,7.0,5.0,7.0,8.0,16.0,15.0,16.0,14.0,Baby Rosalina,Sneeker,Button,Wario Wing
5019,4.0,15.0,11.0,12.0,17.0,5.0,5.0,6.0,9.0,15.0,13.0,14.0,17.0,Baby Rosalina,Standard Kart,Sponge,Peach Parasol
4629,4.0,12.0,11.0,10.0,15.0,7.0,7.0,9.0,7.0,18.0,16.0,17.0,19.0,Baby Peach,Standard Kart,Slim,Cloud Glider
5222,4.0,11.0,10.0,5.0,14.0,8.0,6.0,9.0,7.0,17.0,15.0,16.0,17.0,Baby Rosalina,Sneeker,Slim,Cloud Glider
5130,4.0,16.0,12.0,12.0,18.0,4.0,4.0,6.0,10.0,16.0,13.0,14.0,18.0,Baby Rosalina,Cat Cruiser,Sponge,Peach Parasol
4626,4.0,15.0,8.0,12.0,17.0,5.0,7.0,5.0,9.0,18.0,17.0,17.0,18.0,Baby Peach,Standard Kart,Roller,Wario Wing
4404,4.0,17.0,9.0,14.0,18.0,4.0,6.0,5.0,8.0,16.0,14.0,14.0,15.0,Baby Mario,Pipe Frame,Sponge,Peach Parasol
5220,4.0,14.0,7.0,7.0,16.0,6.0,6.0,5.0,9.0,17.0,16.0,16.0,16.0,Baby Rosalina,Sneeker,Roller,Wario Wing
5020,4.0,16.0,10.0,13.0,16.0,5.0,8.0,4.0,7.0,18.0,16.0,17.0,15.0,Baby Rosalina,Pipe Frame,Standard,Super Glider
5016,4.0,14.0,10.0,13.0,16.0,6.0,6.0,5.0,10.0,15.0,12.0,15.0,16.0,Baby Rosalina,Standard Kart,Sponge,Super Glider
4501,4.0,15.0,8.0,10.0,16.0,6.0,6.0,8.0,7.0,18.0,16.0,17.0,17.0,Baby Mario,Biddybuggy,Slim,Super Glider
4357,4.0,16.0,6.0,12.0,17.0,6.0,9.0,5.0,10.0,16.0,14.0,16.0,16.0,Baby Mario,Standard Kart,Roller,Super Glider
5042,4.0,16.0,11.0,14.0,15.0,5.0,9.0,5.0,4.0,16.0,14.0,16.0,15.0,Baby Rosalina,Pipe Frame,Off-Road,Cloud Glider
4642,4.0,13.0,9.0,15.0,16.0,6.0,6.0,5.0,10.0,16.0,13.0,16.0,17.0,Baby Peach,Standard Kart,Sponge,Super Glider
5103,4.0,16.0,11.0,12.0,17.0,5.0,7.0,7.0,9.0,17.0,14.0,16.0,18.0,Baby Rosalina,Cat Cruiser,Standard,Cloud Glider
5258,4.0,15.0,11.0,14.0,16.0,5.0,4.0,7.0,10.0,16.0,14.0,15.0,16.0,Baby Rosalina,Standard Bike,Sponge,Wario Wing
4395,4.0,17.0,8.0,11.0,17.0,5.0,7.0,6.0,7.0,17.0,16.0,16.0,13.0,Baby Mario,Pipe Frame,Button,Wario Wing
5253,4.0,15.0,11.0,15.0,14.0,6.0,8.0,8.0,6.0,15.0,13.0,16.0,16.0,Baby Rosalina,Standard Bike,Off-Road,Cloud Glider
4360,4.0,17.0,7.0,11.0,18.0,5.0,8.0,6.0,9.0,16.0,15.0,15.0,17.0,Baby Mario,Standard Kart,Roller,Peach Parasol
5121,4.0,16.0,11.0,9.0,17.0,5.0,5.0,7.0,9.0,17.0,15.0,16.0,16.0,Baby Rosalina,Cat Cruiser,Button,Wario Wing
5112,4.0,17.0,10.0,10.0,18.0,4.0,6.0,5.0,10.0,18.0,16.0,16.0,18.0,Baby Rosalina,Cat Cruiser,Roller,Wario Wing
5115,4.0,14.0,13.0,8.0,16.0,6.0,6.0,9.0,8.0,18.0,15.0,16.0,19.0,Baby Rosalina,Cat Cruiser,Slim,Cloud Glider
5035,4.0,15.0,13.0,8.0,16.0,5.0,6.0,7.0,5.0,19.0,18.0,16.0,17.0,Baby Rosalina,Pipe Frame,Slim,Peach Parasol
1008,4.0,13.0,6.0,10.0,15.0,11.0,11.0,13.0,12.0,11.0,11.0,15.0,10.0,Peach,Blue Falcon,Button,Cloud Glider
5245,4.0,14.0,13.0,9.0,15.0,6.0,5.0,10.0,7.0,18.0,17.0,16.0,18.0,Baby Rosalina,Standard Bike,Slim,Peach Parasol
5242,4.0,13.0,12.0,10.0,14.0,7.0,6.0,9.0,8.0,18.0,16.0,17.0,17.0,Baby Rosalina,Standard Bike,Slim,Super Glider
994,4.0,14.0,5.0,11.0,16.0,10.0,12.0,11.0,13.0,12.0,12.0,15.0,12.0,Peach,Blue Falcon,Roller,Cloud Glider
5032,4.0,14.0,12.0,9.0,15.0,6.0,7.0,6.0,6.0,19.0,17.0,17.0,16.0,Baby Rosalina,Pipe Frame,Slim,Super Glider
4636,4.0,14.0,9.0,11.0,16.0,6.0,6.0,7.0,8.0,17.0,16.0,17.0,16.0,Baby Peach,Standard Kart,Button,Wario Wing
5773,4.0,18.0,6.0,12.0,17.0,6.0,12.0,7.0,10.0,16.0,14.0,15.0,14.0,Cat Peach,Pipe Frame,Roller,Cloud Glider
4949,4.0,9.0,6.0,11.0,12.0,9.0,7.0,7.0,7.0,15.0,15.0,17.0,13.0,Baby Peach,Blue Falcon,Metal,Cloud Glider
4520,4.0,17.0,6.0,15.0,17.0,5.0,10.0,5.0,8.0,16.0,17.0,13.0,16.0,Baby Mario,Landship,Standard,Peach Parasol
2120,4.0,16.0,5.0,16.0,17.0,5.0,6.0,6.0,10.0,16.0,13.0,16.0,16.0,Koopa Troopa,Biddybuggy,Sponge,Super Glider
4568,4.0,16.0,9.0,15.0,17.0,5.0,5.0,8.0,10.0,15.0,13.0,14.0,16.0,Baby Mario,Standard Bike,Sponge,Peach Parasol
4814,4.0,11.0,8.0,14.0,13.0,8.0,9.0,7.0,6.0,15.0,14.0,15.0,17.0,Baby Peach,Prancer,Off-Road,Cloud Glider
4569,4.0,13.0,6.0,13.0,14.0,9.0,8.0,8.0,10.0,14.0,14.0,17.0,13.0,Baby Mario,Blue Falcon,Standard,Super Glider
4808,4.0,10.0,10.0,8.0,14.0,8.0,6.0,9.0,7.0,18.0,18.0,15.0,19.0,Baby Peach,Prancer,Slim,Peach Parasol
4572,4.0,14.0,7.0,12.0,15.0,8.0,7.0,9.0,9.0,14.0,15.0,16.0,14.0,Baby Mario,Blue Falcon,Standard,Peach Parasol
4805,4.0,9.0,9.0,9.0,13.0,9.0,7.0,8.0,8.0,18.0,17.0,16.0,18.0,Baby Peach,Prancer,Slim,Super Glider
4677,4.0,15.0,10.0,15.0,17.0,4.0,5.0,4.0,8.0,18.0,16.0,16.0,16.0,Baby Peach,Pipe Frame,Sponge,Wario Wing
2114,4.0,17.0,5.0,12.0,17.0,5.0,6.0,8.0,8.0,17.0,16.0,17.0,15.0,Koopa Troopa,Biddybuggy,Button,Wario Wing
5932,4.0,17.0,3.0,14.0,16.0,7.0,14.0,5.0,12.0,15.0,15.0,13.0,14.0,Cat Peach,Landship,Roller,Super Glider
4800,4.0,12.0,8.0,12.0,15.0,7.0,7.0,7.0,8.0,17.0,17.0,15.0,18.0,Baby Peach,Prancer,Standard,Peach Parasol
4797,4.0,11.0,7.0,13.0,14.0,8.0,8.0,6.0,9.0,17.0,16.0,16.0,17.0,Baby Peach,Prancer,Standard,Super Glider
4577,4.0,11.0,8.0,9.0,13.0,10.0,7.0,10.0,9.0,15.0,15.0,17.0,14.0,Baby Mario,Blue Falcon,Slim,Super Glider
2109,4.0,15.0,7.0,11.0,16.0,6.0,7.0,10.0,7.0,18.0,16.0,17.0,18.0,Koopa Troopa,Biddybuggy,Slim,Cloud Glider
2106,4.0,18.0,4.0,13.0,18.0,4.0,7.0,6.0,9.0,18.0,17.0,17.0,17.0,Koopa Troopa,Biddybuggy,Roller,Wario Wing
1706,4.0,14.0,6.0,9.0,15.0,8.0,10.0,6.0,11.0,15.0,14.0,14.0,15.0,Toadette,Prancer,Roller,Super Glider
1709,4.0,15.0,7.0,8.0,16.0,7.0,9.0,7.0,10.0,15.0,15.0,13.0,16.0,Toadette,Prancer,Roller,Peach Parasol
1720,4.0,13.0,7.0,8.0,14.0,9.0,9.0,8.0,10.0,14.0,13.0,14.0,13.0,Toadette,Prancer,Button,Super Glider
5935,4.0,18.0,4.0,13.0,17.0,6.0,13.0,6.0,11.0,15.0,16.0,12.0,15.0,Cat Peach,Landship,Roller,Peach Parasol
1723,4.0,14.0,8.0,7.0,15.0,8.0,8.0,9.0,9.0,14.0,14.0,13.0,14.0,Toadette,Prancer,Button,Peach Parasol
1729,4.0,13.0,8.0,11.0,15.0,8.0,8.0,8.0,11.0,13.0,11.0,12.0,15.0,Toadette,Prancer,Sponge,Cloud Glider
1733,4.0,18.0,8.0,12.0,17.0,5.0,8.0,8.0,8.0,16.0,14.0,16.0,16.0,Toadette,Biddybuggy,Standard,Cloud Glider
1742,4.0,19.0,7.0,10.0,18.0,4.0,7.0,6.0,9.0,17.0,16.0,16.0,16.0,Toadette,Biddybuggy,Roller,Wario Wing
1745,4.0,16.0,10.0,8.0,16.0,6.0,7.0,10.0,7.0,17.0,15.0,16.0,17.0,Toadette,Biddybuggy,Slim,Cloud Glider
1751,4.0,18.0,8.0,9.0,17.0,5.0,6.0,8.0,8.0,16.0,15.0,16.0,14.0,Toadette,Biddybuggy,Button,Wario Wing
4819,4.0,11.0,8.0,13.0,15.0,7.0,5.0,6.0,10.0,16.0,15.0,14.0,17.0,Baby Peach,Prancer,Sponge,Wario Wing
1757,4.0,17.0,8.0,13.0,17.0,5.0,6.0,6.0,10.0,15.0,12.0,15.0,15.0,Toadette,Biddybuggy,Sponge,Super Glider
2123,4.0,17.0,6.0,15.0,18.0,4.0,5.0,7.0,9.0,16.0,14.0,15.0,17.0,Koopa Troopa,Biddybuggy,Sponge,Peach Parasol
5921,4.0,17.0,6.0,14.0,17.0,6.0,8.0,9.0,11.0,14.0,11.0,14.0,15.0,Cat Peach,Biddybuggy,Sponge,Cloud Glider
2158,4.0,14.0,3.0,10.0,16.0,7.0,9.0,7.0,10.0,16.0,14.0,16.0,16.0,Koopa Troopa,Sneeker,Roller,Cloud Glider
4542,4.0,16.0,8.0,15.0,16.0,6.0,8.0,9.0,9.0,16.0,14.0,16.0,16.0,Baby Mario,Standard Bike,Standard,Cloud Glider
2153,4.0,16.0,5.0,17.0,17.0,5.0,9.0,5.0,10.0,15.0,15.0,12.0,16.0,Koopa Troopa,Landship,Sponge,Peach Parasol
4864,4.0,13.0,9.0,12.0,15.0,6.0,8.0,6.0,7.0,19.0,20.0,15.0,18.0,Baby Peach,Landship,Slim,Wario Wing
2150,4.0,15.0,4.0,18.0,16.0,6.0,10.0,4.0,11.0,15.0,14.0,13.0,15.0,Koopa Troopa,Landship,Sponge,Super Glider
4551,4.0,17.0,7.0,13.0,17.0,5.0,7.0,7.0,10.0,17.0,16.0,16.0,16.0,Baby Mario,Standard Bike,Roller,Wario Wing
4554,4.0,14.0,10.0,11.0,15.0,7.0,7.0,11.0,8.0,17.0,15.0,16.0,17.0,Baby Mario,Standard Bike,Slim,Cloud Glider
4855,4.0,14.0,7.0,19.0,16.0,4.0,9.0,4.0,5.0,15.0,16.0,13.0,16.0,Baby Peach,Landship,Monster,Cloud Glider
2144,4.0,16.0,4.0,14.0,16.0,6.0,10.0,6.0,9.0,16.0,17.0,14.0,14.0,Koopa Troopa,Landship,Button,Wario Wing
4852,4.0,15.0,7.0,16.0,16.0,5.0,9.0,4.0,8.0,18.0,19.0,15.0,17.0,Baby Peach,Landship,Standard,Wario Wing
5904,4.0,18.0,4.0,12.0,17.0,6.0,10.0,7.0,11.0,16.0,14.0,16.0,15.0,Cat Peach,Biddybuggy,Roller,Super Glider
5907,4.0,19.0,5.0,11.0,18.0,5.0,9.0,8.0,10.0,16.0,15.0,15.0,16.0,Cat Peach,Biddybuggy,Roller,Peach Parasol
1625,4.0,18.0,9.0,10.0,18.0,5.0,9.0,7.0,11.0,16.0,13.0,15.0,17.0,Toadette,Cat Cruiser,Roller,Cloud Glider
5912,4.0,17.0,5.0,11.0,16.0,7.0,9.0,9.0,10.0,15.0,13.0,16.0,13.0,Cat Peach,Biddybuggy,Button,Super Glider
2137,4.0,14.0,6.0,13.0,15.0,7.0,11.0,8.0,8.0,17.0,17.0,14.0,17.0,Koopa Troopa,Landship,Slim,Cloud Glider
5915,4.0,18.0,6.0,10.0,17.0,6.0,8.0,10.0,9.0,15.0,14.0,15.0,14.0,Cat Peach,Biddybuggy,Button,Peach Parasol
1637,4.0,17.0,10.0,9.0,17.0,6.0,8.0,9.0,10.0,15.0,12.0,15.0,15.0,Toadette,Cat Cruiser,Button,Cloud Glider
4845,4.0,16.0,9.0,15.0,16.0,4.0,6.0,6.0,4.0,17.0,16.0,17.0,18.0,Baby Peach,Biddybuggy,Off-Road,Peach Parasol
4842,4.0,15.0,8.0,16.0,15.0,5.0,7.0,5.0,5.0,17.0,15.0,18.0,17.0,Baby Peach,Biddybuggy,Off-Road,Super Glider
2134,4.0,17.0,3.0,15.0,17.0,5.0,11.0,4.0,10.0,17.0,18.0,14.0,16.0,Koopa Troopa,Landship,Roller,Wario Wing
4835,4.0,14.0,10.0,10.0,16.0,5.0,4.0,8.0,6.0,20.0,19.0,18.0,19.0,Baby Peach,Biddybuggy,Slim,Wario Wing
4559,4.0,16.0,8.0,12.0,16.0,6.0,6.0,9.0,9.0,16.0,15.0,16.0,14.0,Baby Mario,Standard Bike,Button,Wario Wing
4826,4.0,15.0,8.0,17.0,17.0,3.0,5.0,6.0,4.0,16.0,15.0,16.0,17.0,Baby Peach,Biddybuggy,Monster,Cloud Glider
4823,4.0,16.0,8.0,14.0,17.0,4.0,5.0,6.0,7.0,19.0,18.0,18.0,18.0,Baby Peach,Biddybuggy,Standard,Wario Wing
2125,4.0,16.0,4.0,17.0,16.0,6.0,12.0,6.0,9.0,16.0,16.0,14.0,16.0,Koopa Troopa,Landship,Standard,Cloud Glider
4565,4.0,15.0,8.0,16.0,16.0,6.0,6.0,7.0,11.0,15.0,12.0,15.0,15.0,Baby Mario,Standard Bike,Sponge,Super Glider
4539,4.0,16.0,6.0,16.0,17.0,5.0,8.0,4.0,10.0,15.0,15.0,12.0,15.0,Baby Mario,Landship,Sponge,Wario Wing
5940,4.0,16.0,4.0,13.0,15.0,8.0,13.0,7.0,11.0,14.0,14.0,13.0,12.0,Cat Peach,Landship,Button,Super Glider
4772,4.0,15.0,11.0,14.0,18.0,4.0,4.0,6.0,10.0,17.0,14.0,15.0,19.0,Baby Peach,Cat Cruiser,Sponge,Peach Parasol
5994,4.0,13.0,5.0,10.0,13.0,11.0,10.0,11.0,12.0,12.0,12.0,16.0,10.0,Cat Peach,Blue Falcon,Button,Super Glider
1850,4.0,14.0,8.0,11.0,14.0,9.0,9.0,10.0,10.0,13.0,13.0,16.0,13.0,Toadette,Blue Falcon,Standard,Cloud Glider
5997,4.0,14.0,6.0,9.0,14.0,10.0,9.0,12.0,11.0,12.0,13.0,15.0,11.0,Cat Peach,Blue Falcon,Button,Peach Parasol
1859,4.0,15.0,7.0,9.0,15.0,8.0,8.0,8.0,11.0,14.0,15.0,16.0,13.0,Toadette,Blue Falcon,Roller,Wario Wing
1862,4.0,12.0,10.0,7.0,13.0,10.0,8.0,12.0,9.0,14.0,14.0,16.0,14.0,Toadette,Blue Falcon,Slim,Cloud Glider
4743,4.0,15.0,10.0,14.0,17.0,5.0,7.0,7.0,9.0,18.0,15.0,17.0,19.0,Baby Peach,Cat Cruiser,Standard,Cloud Glider
2079,4.0,14.0,4.0,11.0,16.0,7.0,9.0,7.0,10.0,16.0,16.0,14.0,17.0,Koopa Troopa,Prancer,Roller,Peach Parasol
1873,4.0,14.0,8.0,8.0,14.0,9.0,7.0,10.0,10.0,13.0,14.0,16.0,11.0,Toadette,Blue Falcon,Button,Wario Wing
2076,4.0,13.0,3.0,12.0,15.0,8.0,10.0,6.0,11.0,16.0,15.0,15.0,16.0,Koopa Troopa,Prancer,Roller,Super Glider
4580,4.0,12.0,9.0,8.0,14.0,9.0,6.0,11.0,8.0,15.0,16.0,16.0,15.0,Baby Mario,Blue Falcon,Slim,Peach Parasol
4731,4.0,12.0,6.0,12.0,15.0,6.0,9.0,6.0,4.0,15.0,18.0,16.0,15.0,Baby Peach,Steel Driver,Button,Cloud Glider
4586,4.0,13.0,7.0,14.0,13.0,9.0,9.0,9.0,7.0,12.0,12.0,16.0,13.0,Baby Mario,Blue Falcon,Off-Road,Cloud Glider
1918,4.0,16.0,5.0,13.0,17.0,6.0,10.0,7.0,10.0,16.0,14.0,16.0,17.0,Koopa Troopa,Standard Kart,Roller,Cloud Glider
1928,4.0,15.0,6.0,12.0,16.0,7.0,9.0,9.0,9.0,15.0,13.0,16.0,15.0,Koopa Troopa,Standard Kart,Button,Cloud Glider
4719,4.0,13.0,5.0,13.0,16.0,5.0,10.0,4.0,5.0,16.0,19.0,16.0,17.0,Baby Peach,Steel Driver,Roller,Cloud Glider
1947,4.0,17.0,5.0,14.0,17.0,5.0,10.0,4.0,9.0,18.0,16.0,17.0,15.0,Koopa Troopa,Pipe Frame,Roller,Super Glider
1950,4.0,18.0,6.0,13.0,18.0,4.0,9.0,5.0,8.0,18.0,17.0,16.0,16.0,Koopa Troopa,Pipe Frame,Roller,Peach Parasol
1957,4.0,16.0,6.0,13.0,16.0,6.0,9.0,6.0,8.0,17.0,15.0,17.0,13.0,Koopa Troopa,Pipe Frame,Button,Super Glider
1960,4.0,17.0,7.0,12.0,17.0,5.0,8.0,7.0,7.0,17.0,16.0,16.0,14.0,Koopa Troopa,Pipe Frame,Button,Peach Parasol
4709,4.0,13.0,8.0,16.0,17.0,5.0,6.0,8.0,10.0,15.0,13.0,17.0,17.0,Baby Peach,Mach 8,Sponge,Cloud Glider
1966,4.0,16.0,7.0,16.0,17.0,5.0,8.0,6.0,9.0,16.0,13.0,15.0,15.0,Koopa Troopa,Pipe Frame,Sponge,Cloud Glider
2033,4.0,17.0,6.0,13.0,18.0,5.0,9.0,7.0,11.0,17.0,14.0,16.0,18.0,Koopa Troopa,Cat Cruiser,Roller,Cloud Glider
4703,4.0,14.0,8.0,12.0,17.0,5.0,6.0,9.0,8.0,16.0,16.0,18.0,16.0,Baby Peach,Mach 8,Button,Peach Parasol
4597,4.0,15.0,7.0,16.0,17.0,4.0,10.0,6.0,9.0,17.0,16.0,16.0,17.0,Baby Mario,Tanooki Kart,Roller,Cloud Glider
4700,4.0,13.0,7.0,13.0,16.0,6.0,7.0,8.0,9.0,16.0,15.0,19.0,15.0,Baby Peach,Mach 8,Button,Super Glider
1846,4.0,16.0,10.0,14.0,16.0,6.0,7.0,9.0,11.0,14.0,11.0,14.0,15.0,Toadette,Standard Bike,Sponge,Cloud Glider
1760,4.0,18.0,9.0,12.0,18.0,4.0,5.0,7.0,9.0,15.0,13.0,14.0,16.0,Toadette,Biddybuggy,Sponge,Peach Parasol
4752,4.0,16.0,9.0,12.0,18.0,4.0,6.0,5.0,10.0,19.0,17.0,17.0,19.0,Baby Peach,Cat Cruiser,Roller,Wario Wing
1840,4.0,17.0,10.0,10.0,16.0,6.0,7.0,10.0,9.0,15.0,14.0,15.0,14.0,Toadette,Standard Bike,Button,Peach Parasol
5943,4.0,17.0,5.0,12.0,16.0,7.0,12.0,8.0,10.0,14.0,15.0,12.0,13.0,Cat Peach,Landship,Button,Peach Parasol
1762,4.0,17.0,7.0,14.0,16.0,6.0,12.0,6.0,9.0,15.0,15.0,13.0,15.0,Toadette,Landship,Standard,Cloud Glider
2097,4.0,17.0,5.0,15.0,17.0,5.0,8.0,8.0,8.0,17.0,15.0,17.0,17.0,Koopa Troopa,Biddybuggy,Standard,Cloud Glider
5949,4.0,16.0,5.0,16.0,16.0,7.0,12.0,7.0,12.0,13.0,12.0,11.0,14.0,Cat Peach,Landship,Sponge,Cloud Glider
1771,4.0,18.0,6.0,12.0,17.0,5.0,11.0,4.0,10.0,16.0,17.0,13.0,15.0,Toadette,Landship,Roller,Wario Wing
4687,4.0,14.0,6.0,14.0,17.0,5.0,8.0,6.0,10.0,17.0,16.0,19.0,17.0,Baby Peach,Mach 8,Roller,Super Glider
4769,4.0,14.0,10.0,15.0,17.0,5.0,5.0,5.0,11.0,17.0,13.0,16.0,18.0,Baby Peach,Cat Cruiser,Sponge,Super Glider
1774,4.0,15.0,9.0,10.0,15.0,7.0,11.0,8.0,8.0,16.0,16.0,13.0,16.0,Toadette,Landship,Slim,Cloud Glider
1783,4.0,17.0,7.0,11.0,16.0,6.0,10.0,6.0,9.0,15.0,16.0,13.0,13.0,Toadette,Landship,Button,Wario Wing
1789,4.0,16.0,7.0,15.0,16.0,6.0,10.0,4.0,11.0,14.0,13.0,12.0,14.0,Toadette,Landship,Sponge,Super Glider
4763,4.0,15.0,10.0,11.0,17.0,5.0,5.0,7.0,9.0,18.0,16.0,17.0,17.0,Baby Peach,Cat Cruiser,Button,Wario Wing
4690,4.0,15.0,7.0,13.0,18.0,4.0,7.0,7.0,9.0,17.0,17.0,18.0,18.0,Baby Peach,Mach 8,Roller,Peach Parasol
5961,4.0,17.0,6.0,13.0,16.0,7.0,11.0,10.0,12.0,15.0,13.0,15.0,15.0,Cat Peach,Standard Bike,Roller,Cloud Glider
1792,4.0,17.0,8.0,14.0,17.0,5.0,9.0,5.0,10.0,14.0,14.0,11.0,15.0,Toadette,Landship,Sponge,Peach Parasol
1798,4.0,15.0,6.0,7.0,16.0,7.0,9.0,7.0,10.0,15.0,13.0,15.0,15.0,Toadette,Sneeker,Roller,Cloud Glider
2093,4.0,12.0,5.0,14.0,15.0,8.0,8.0,8.0,11.0,14.0,12.0,13.0,16.0,Koopa Troopa,Prancer,Sponge,Cloud Glider
5969,4.0,16.0,7.0,12.0,15.0,8.0,10.0,12.0,11.0,14.0,12.0,15.0,13.0,Cat Peach,Standard Bike,Button,Cloud Glider
1809,4.0,14.0,7.0,6.0,15.0,8.0,8.0,9.0,9.0,14.0,12.0,15.0,13.0,Toadette,Sneeker,Button,Cloud Glider
2087,4.0,13.0,5.0,10.0,15.0,8.0,8.0,9.0,9.0,15.0,15.0,14.0,15.0,Koopa Troopa,Prancer,Button,Peach Parasol
1825,4.0,17.0,8.0,12.0,16.0,6.0,9.0,7.0,11.0,16.0,14.0,16.0,15.0,Toadette,Standard Bike,Roller,Super Glider
4755,4.0,13.0,12.0,10.0,16.0,6.0,6.0,9.0,8.0,19.0,16.0,17.0,20.0,Baby Peach,Cat Cruiser,Slim,Cloud Glider
1828,4.0,18.0,9.0,11.0,17.0,5.0,8.0,8.0,10.0,16.0,15.0,15.0,16.0,Toadette,Standard Bike,Roller,Peach Parasol
2084,4.0,12.0,4.0,11.0,14.0,9.0,9.0,8.0,10.0,15.0,14.0,15.0,14.0,Koopa Troopa,Prancer,Button,Super Glider
1837,4.0,16.0,9.0,11.0,15.0,7.0,8.0,9.0,10.0,15.0,13.0,16.0,13.0,Toadette,Standard Bike,Button,Super Glider
5986,4.0,14.0,4.0,11.0,14.0,10.0,11.0,9.0,13.0,13.0,13.0,16.0,12.0,Cat Peach,Blue Falcon,Roller,Super Glider
5989,4.0,15.0,5.0,10.0,15.0,9.0,10.0,10.0,12.0,13.0,14.0,15.0,13.0,Cat Peach,Blue Falcon,Roller,Peach Parasol
5879,4.0,14.0,4.0,10.0,15.0,9.0,12.0,9.0,12.0,14.0,13.0,13.0,15.0,Cat Peach,Prancer,Roller,Cloud Glider
5184,4.0,17.0,10.0,13.0,16.0,4.0,6.0,6.0,4.0,16.0,15.0,16.0,17.0,Baby Rosalina,Biddybuggy,Off-Road,Peach Parasol
2199,4.0,13.0,5.0,14.0,14.0,9.0,9.0,10.0,10.0,14.0,14.0,17.0,14.0,Koopa Troopa,Blue Falcon,Standard,Cloud Glider
1442,4.0,14.0,7.0,10.0,15.0,9.0,8.0,11.0,10.0,13.0,14.0,16.0,12.0,Toad,Blue Falcon,Button,Peach Parasol
2207,4.0,14.0,4.0,12.0,15.0,8.0,8.0,8.0,11.0,15.0,16.0,17.0,14.0,Koopa Troopa,Blue Falcon,Roller,Wario Wing
4888,4.0,10.0,9.0,7.0,14.0,8.0,6.0,9.0,7.0,18.0,16.0,17.0,18.0,Baby Peach,Sneeker,Slim,Cloud Glider
4928,4.0,14.0,10.0,16.0,16.0,5.0,4.0,7.0,10.0,17.0,15.0,16.0,17.0,Baby Peach,Standard Bike,Sponge,Wario Wing
2217,4.0,13.0,5.0,11.0,14.0,9.0,7.0,10.0,10.0,14.0,15.0,17.0,12.0,Koopa Troopa,Blue Falcon,Button,Wario Wing
1536,4.0,17.0,9.0,10.0,16.0,6.0,9.0,6.0,8.0,16.0,14.0,16.0,12.0,Toadette,Pipe Frame,Button,Super Glider
2195,4.0,15.0,7.0,17.0,16.0,6.0,7.0,9.0,11.0,15.0,12.0,15.0,16.0,Koopa Troopa,Standard Bike,Sponge,Cloud Glider
2189,4.0,16.0,7.0,13.0,16.0,6.0,7.0,10.0,9.0,16.0,15.0,16.0,15.0,Koopa Troopa,Standard Bike,Button,Peach Parasol
2176,4.0,16.0,5.0,15.0,16.0,6.0,9.0,7.0,11.0,17.0,15.0,17.0,16.0,Koopa Troopa,Standard Bike,Roller,Super Glider
5781,4.0,17.0,7.0,11.0,16.0,7.0,11.0,9.0,9.0,15.0,13.0,15.0,12.0,Cat Peach,Pipe Frame,Button,Cloud Glider
4894,4.0,12.0,7.0,8.0,15.0,7.0,5.0,7.0,8.0,17.0,16.0,17.0,15.0,Baby Peach,Sneeker,Button,Wario Wing
1504,4.0,16.0,9.0,9.0,16.0,7.0,9.0,9.0,9.0,14.0,12.0,15.0,14.0,Toadette,Standard Kart,Button,Cloud Glider
4895,4.0,11.0,7.0,12.0,15.0,7.0,5.0,5.0,10.0,16.0,13.0,16.0,16.0,Baby Peach,Sneeker,Sponge,Super Glider
4959,4.0,12.0,9.0,14.0,13.0,8.0,7.0,8.0,6.0,14.0,15.0,17.0,15.0,Baby Peach,Blue Falcon,Off-Road,Peach Parasol
2179,4.0,17.0,6.0,14.0,17.0,5.0,8.0,8.0,10.0,17.0,16.0,16.0,17.0,Koopa Troopa,Standard Bike,Roller,Peach Parasol
4532,4.0,15.0,8.0,11.0,16.0,6.0,9.0,7.0,7.0,17.0,18.0,13.0,17.0,Baby Mario,Landship,Slim,Peach Parasol
1490,4.0,17.0,8.0,10.0,17.0,6.0,10.0,7.0,10.0,15.0,13.0,15.0,16.0,Toadette,Standard Kart,Roller,Cloud Glider
4923,4.0,14.0,10.0,17.0,14.0,6.0,8.0,8.0,6.0,16.0,14.0,17.0,17.0,Baby Peach,Standard Bike,Off-Road,Cloud Glider
1523,4.0,18.0,8.0,11.0,17.0,5.0,10.0,4.0,9.0,17.0,15.0,16.0,14.0,Toadette,Pipe Frame,Roller,Super Glider
4901,4.0,15.0,10.0,15.0,16.0,5.0,6.0,8.0,8.0,18.0,17.0,17.0,18.0,Baby Peach,Standard Bike,Standard,Peach Parasol
4898,4.0,14.0,9.0,16.0,15.0,6.0,7.0,7.0,9.0,18.0,16.0,18.0,17.0,Baby Peach,Standard Bike,Standard,Super Glider
1526,4.0,19.0,9.0,10.0,18.0,4.0,9.0,5.0,8.0,17.0,16.0,15.0,15.0,Toadette,Pipe Frame,Roller,Peach Parasol
2210,4.0,11.0,7.0,10.0,13.0,10.0,8.0,12.0,9.0,15.0,15.0,17.0,15.0,Koopa Troopa,Blue Falcon,Slim,Cloud Glider
4968,4.0,13.0,8.0,17.0,16.0,4.0,9.0,4.0,9.0,19.0,18.0,18.0,18.0,Baby Peach,Tanooki Kart,Roller,Super Glider
