Coord1,Coord2,Coord3,Ind,Weight,Acceleration,On-road Traction,Off-road Traction,Mini-Turbo,Ground Speed,Water Speed,Anti-gravity Speed,Air Speed,Ground Handling,Water Handling,Anti-gravity Handling,Air Handling
On-road Traction,Air Handling,Air Speed,23,,,11.0,,,,,,11.0,,,,18.0
On-road Traction,Air Handling,Air Speed,24,,,11.0,,,,,,10.0,,,,19.0
On-road Traction,Air Handling,Air Speed,8,,,11.0,,,,,,13.0,,,,16.0
On-road Traction,Air Handling,Air Speed,27,,,12.0,,,,,,10.0,,,,18.0
On-road Traction,Air Handling,Air Speed,22,,,13.0,,,,,,8.0,,,,20.0
On-road Traction,Air Handling,Air Speed,16,,,13.0,,,,,,20.0,,,,9.0
On-road Traction,Air Handling,Air Speed,21,,,13.0,,,,,,9.0,,,,19.0
On-road Traction,Air Handling,Air Speed,7,,,13.0,,,,,,11.0,,,,17.0
On-road Traction,Air Handling,Air Speed,6,,,13.0,,,,,,12.0,,,,16.0
On-road Traction,Air Handling,Air Speed,4,,,13.0,,,,,,16.0,,,,14.0
On-road Traction,Air Handling,Air Speed,3,,,13.0,,,,,,17.0,,,,13.0
On-road Traction,Air Handling,Air Speed,11,,,14.0,,,,,,20.0,,,,8.0
On-road Traction,Air Handling,Air Speed,26,,,14.0,,,,,,8.0,,,,19.0
On-road Traction,Air Handling,Air Speed,25,,,14.0,,,,,,9.0,,,,18.0
On-road Traction,Air Handling,Air Speed,9,,,14.0,,,,,,11.0,,,,16.0
On-road Traction,Air Handling,Air Speed,10,,,14.0,,,,,,10.0,,,,17.0
On-road Traction,Air Handling,Air Speed,17,,,15.0,,,,,,16.0,,,,13.0
On-road Traction,Air Handling,Air Speed,2,,,15.0,,,,,,14.0,,,,15.0
On-road Traction,Air Handling,Air Speed,1,,,15.0,,,,,,15.0,,,,14.0
On-road Traction,Air Handling,Air Speed,29,,,17.0,,,,,,13.0,,,,15.0
On-road Traction,Air Handling,Air Speed,28,,,17.0,,,,,,14.0,,,,14.0
On-road Traction,Air Handling,Air Speed,19,,,17.0,,,,,,17.0,,,,12.0
On-road Traction,Air Handling,Air Speed,15,,,18.0,,,,,,18.0,,,,11.0
On-road Traction,Air Handling,Air Speed,14,,,18.0,,,,,,19.0,,,,10.0
On-road Traction,Air Handling,Air Speed,18,,,19.0,,,,,,15.0,,,,13.0
On-road Traction,Air Handling,Air Speed,13,,,20.0,,,,,,16.0,,,,12.0
On-road Traction,Air Handling,Air Speed,12,,,20.0,,,,,,17.0,,,,11.0
On-road Traction,Air Handling,Ground Handling,5,,,10.0,,,,,,,20.0,,,20.0
On-road Traction,Air Handling,Ground Handling,3,,,12.0,,,,,,,20.0,,,18.0
On-road Traction,Air Handling,Ground Handling,4,,,13.0,,,,,,,19.0,,,20.0
On-road Traction,Air Handling,Ground Handling,6,,,14.0,,,,,,,18.0,,,19.0
On-road Traction,Air Handling,Ground Handling,7,,,16.0,,,,,,,15.0,,,13.0
On-road Traction,Air Handling,Ground Handling,8,,,17.0,,,,,,,14.0,,,15.0
On-road Traction,Air Handling,Ground Handling,1,,,18.0,,,,,,,13.0,,,11.0
On-road Traction,Air Handling,Ground Handling,2,,,19.0,,,,,,,12.0,,,13.0
On-road Traction,Air Handling,Ground Handling,0,,,20.0,,,,,,,11.0,,,12.0
On-road Traction,Air Handling,Water Handling,7,,,9.0,,,,,,,,20.0,,19.0
On-road Traction,Air Handling,Water Handling,4,,,10.0,,,,,,,,20.0,,17.0
On-road Traction,Air Handling,Water Handling,6,,,10.0,,,,,,,,19.0,,20.0
On-road Traction,Air Handling,Water Handling,5,,,13.0,,,,,,,,17.0,,20.0
On-road Traction,Air Handling,Water Handling,8,,,13.0,,,,,,,,19.0,,19.0
On-road Traction,Air Handling,Water Handling,9,,,14.0,,,,,,,,16.0,,19.0
On-road Traction,Air Handling,Water Handling,10,,,14.0,,,,,,,,18.0,,18.0
On-road Traction,Air Handling,Water Handling,11,,,17.0,,,,,,,,12.0,,15.0
On-road Traction,Air Handling,Water Handling,12,,,17.0,,,,,,,,14.0,,14.0
On-road Traction,Air Handling,Water Handling,2,,,19.0,,,,,,,,10.0,,13.0
On-road Traction,Air Handling,Water Handling,3,,,19.0,,,,,,,,12.0,,12.0
On-road Traction,Air Handling,Water Handling,0,,,20.0,,,,,,,,9.0,,12.0
On-road Traction,Air Handling,Water Handling,1,,,20.0,,,,,,,,11.0,,11.0
On-road Traction,Air Handling,Anti-gravity Handling,5,,,5.0,,,,,,,,,20.0,20.0
On-road Traction,Air Handling,Anti-gravity Handling,8,,,6.0,,,,,,,,,20.0,18.0
On-road Traction,Air Handling,Anti-gravity Handling,6,,,9.0,,,,,,,,,19.0,20.0
On-road Traction,Air Handling,Anti-gravity Handling,7,,,10.0,,,,,,,,,18.0,20.0
On-road Traction,Air Handling,Anti-gravity Handling,9,,,11.0,,,,,,,,,18.0,19.0
On-road Traction,Air Handling,Anti-gravity Handling,3,,,12.0,,,,,,,,,17.0,20.0
On-road Traction,Air Handling,Anti-gravity Handling,4,,,13.0,,,,,,,,,16.0,20.0
On-road Traction,Air Handling,Anti-gravity Handling,10,,,14.0,,,,,,,,,15.0,19.0
On-road Traction,Air Handling,Anti-gravity Handling,13,,,15.0,,,,,,,,,13.0,14.0
On-road Traction,Air Handling,Anti-gravity Handling,11,,,16.0,,,,,,,,,12.0,15.0
On-road Traction,Air Handling,Anti-gravity Handling,12,,,17.0,,,,,,,,,11.0,15.0
On-road Traction,Air Handling,Anti-gravity Handling,1,,,18.0,,,,,,,,,10.0,13.0
On-road Traction,Air Handling,Anti-gravity Handling,2,,,19.0,,,,,,,,,9.0,13.0
On-road Traction,Air Handling,Anti-gravity Handling,0,,,20.0,,,,,,,,,8.0,12.0
Off-road Traction,Weight,Acceleration,88,6.0,18.0,,9.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,64,11.0,16.0,,9.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,53,12.0,15.0,,9.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,63,10.0,16.0,,10.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,60,13.0,14.0,,10.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,31,3.0,20.0,,10.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,0,7.0,17.0,,10.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,59,12.0,14.0,,11.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,57,18.0,9.0,,11.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,56,20.0,5.0,,11.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,66,14.0,13.0,,11.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,42,8.0,16.0,,11.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,74,11.0,15.0,,11.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,7,5.0,18.0,,12.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,55,18.0,8.0,,12.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,54,19.0,7.0,,12.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,52,16.0,11.0,,12.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,51,17.0,10.0,,12.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,65,13.0,13.0,,12.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,67,11.0,14.0,,12.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,73,10.0,15.0,,12.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,62,15.0,12.0,,12.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,13,4.0,19.0,,12.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,85,2.0,20.0,,12.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,58,20.0,4.0,,13.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,9,6.0,17.0,,13.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,77,17.0,9.0,,13.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,12,3.0,19.0,,13.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,84,1.0,20.0,,13.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,68,12.0,13.0,,13.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,61,14.0,12.0,,13.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,83,17.0,8.0,,14.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,15,7.0,16.0,,14.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,71,16.0,10.0,,14.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,72,15.0,11.0,,14.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,75,13.0,12.0,,14.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,76,11.0,13.0,,14.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,8,5.0,17.0,,14.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,23,4.0,18.0,,14.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,32,2.0,19.0,,14.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,14,6.0,16.0,,15.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,11,8.0,15.0,,15.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,2,11.0,12.0,,15.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,16,4.0,17.0,,15.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,6,9.0,14.0,,15.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,22,3.0,18.0,,15.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,5,10.0,13.0,,15.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,82,16.0,8.0,,15.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,81,18.0,7.0,,15.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,80,19.0,6.0,,15.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,86,1.0,19.0,,15.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,70,14.0,11.0,,15.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,69,15.0,10.0,,15.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,36,2.0,18.0,,16.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,33,3.0,17.0,,16.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,4,14.0,8.0,,16.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,45,13.0,10.0,,16.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,78,18.0,6.0,,16.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,10,7.0,15.0,,16.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,79,17.0,7.0,,16.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,17,5.0,16.0,,16.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,1,10.0,12.0,,16.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,46,12.0,11.0,,16.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,44,11.0,11.0,,17.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,50,15.0,7.0,,17.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,49,16.0,6.0,,17.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,87,2.0,17.0,,17.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,43,12.0,10.0,,17.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,20,9.0,13.0,,17.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,21,8.0,14.0,,17.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,24,6.0,15.0,,17.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,25,4.0,16.0,,17.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,3,13.0,8.0,,17.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,18,8.0,13.0,,18.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,19,7.0,14.0,,18.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,28,12.0,9.0,,18.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,29,11.0,10.0,,18.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,30,9.0,11.0,,18.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,37,5.0,15.0,,18.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,38,3.0,16.0,,18.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,48,14.0,7.0,,18.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,47,15.0,6.0,,18.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,35,6.0,14.0,,19.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,27,10.0,10.0,,19.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,26,11.0,9.0,,19.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,41,8.0,11.0,,19.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,34,7.0,13.0,,19.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,39,10.0,9.0,,20.0,,,,,,,,,
Off-road Traction,Weight,Acceleration,40,9.0,10.0,,20.0,,,,,,,,,
Off-road Traction,Weight,On-road Traction,4,16.0,,20.0,7.0,,,,,,,,,
Off-road Traction,Weight,On-road Traction,3,15.0,,20.0,8.0,,,,,,,,,
Off-road Traction,Weight,On-road Traction,10,18.0,,18.0,8.0,,,,,,,,,
Off-road Traction,Weight,On-road Traction,7,20.0,,15.0,13.0,,,,,,,,,
Off-road Traction,Weight,On-road Traction,2,17.0,,19.0,14.0,,,,,,,,,
Off-road Traction,Weight,On-road Traction,9,19.0,,17.0,15.0,,,,,,,,,
Off-road Traction,Weight,On-road Traction,8,18.0,,16.0,16.0,,,,,,,,,
Off-road Traction,Weight,On-road Traction,6,16.0,,18.0,17.0,,,,,,,,,
Off-road Traction,Weight,On-road Traction,5,15.0,,17.0,18.0,,,,,,,,,
Off-road Traction,Weight,On-road Traction,0,11.0,,11.0,19.0,,,,,,,,,
Off-road Traction,Weight,On-road Traction,12,9.0,,12.0,19.0,,,,,,,,,
Off-road Traction,Weight,On-road Traction,1,10.0,,9.0,20.0,,,,,,,,,
Off-road Traction,Weight,On-road Traction,11,8.0,,11.0,20.0,,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,52,13.0,,,8.0,15.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,3,9.0,,,9.0,17.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,56,11.0,,,9.0,16.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,53,14.0,,,10.0,14.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,7,7.0,,,10.0,18.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,18,5.0,,,11.0,19.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,4,10.0,,,11.0,16.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,50,20.0,,,11.0,8.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,51,17.0,,,11.0,12.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,57,12.0,,,11.0,15.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,48,19.0,,,12.0,10.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,55,15.0,,,12.0,13.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,9,8.0,,,12.0,17.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,63,2.0,,,12.0,20.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,2,13.0,,,12.0,14.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,49,18.0,,,12.0,11.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,17,4.0,,,12.0,19.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,46,16.0,,,12.0,12.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,20,6.0,,,13.0,18.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,54,20.0,,,13.0,6.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,62,1.0,,,13.0,20.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,8,7.0,,,13.0,17.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,6,11.0,,,13.0,15.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,1,14.0,,,13.0,13.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,47,17.0,,,13.0,11.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,40,16.0,,,14.0,11.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,41,15.0,,,14.0,12.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,0,13.0,,,14.0,13.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,19,5.0,,,14.0,18.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,16,9.0,,,14.0,16.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,14,12.0,,,14.0,14.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,5,10.0,,,14.0,15.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,70,0.0,,,14.0,20.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,65,3.0,,,14.0,19.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,60,19.0,,,15.0,9.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,61,18.0,,,15.0,10.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,64,2.0,,,15.0,19.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,29,4.0,,,15.0,18.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,11,11.0,,,15.0,14.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,15,8.0,,,15.0,16.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,24,6.0,,,15.0,17.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,71,1.0,,,16.0,19.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,10,10.0,,,16.0,14.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,13,14.0,,,16.0,12.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,22,9.0,,,16.0,15.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,23,5.0,,,16.0,17.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,35,3.0,,,16.0,18.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,59,17.0,,,16.0,10.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,28,7.0,,,16.0,16.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,58,18.0,,,16.0,9.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,45,15.0,,,17.0,11.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,44,16.0,,,17.0,10.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,21,8.0,,,17.0,15.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,31,4.0,,,17.0,17.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,12,13.0,,,17.0,12.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,67,2.0,,,17.0,18.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,27,12.0,,,17.0,13.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,34,6.0,,,17.0,16.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,69,9.0,,,18.0,14.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,66,5.0,,,18.0,16.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,37,3.0,,,18.0,17.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,42,15.0,,,18.0,10.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,73,1.0,,,18.0,18.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,30,7.0,,,18.0,15.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,26,11.0,,,18.0,13.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,25,12.0,,,18.0,12.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,43,14.0,,,18.0,11.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,36,6.0,,,19.0,15.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,33,10.0,,,19.0,13.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,32,11.0,,,19.0,12.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,68,8.0,,,19.0,14.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,72,4.0,,,19.0,16.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,39,9.0,,,20.0,13.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,38,10.0,,,20.0,12.0,,,,,,,,
Off-road Traction,Weight,Mini-Turbo,74,7.0,,,20.0,14.0,,,,,,,,
Off-road Traction,Weight,Ground Speed,5,20.0,,,7.0,,20.0,,,,,,,
Off-road Traction,Weight,Ground Speed,4,19.0,,,8.0,,20.0,,,,,,,
Off-road Traction,Weight,Ground Speed,10,18.0,,,9.0,,20.0,,,,,,,
Off-road Traction,Weight,Ground Speed,7,19.0,,,11.0,,19.0,,,,,,,
Off-road Traction,Weight,Ground Speed,3,20.0,,,12.0,,18.0,,,,,,,
Off-road Traction,Weight,Ground Speed,6,18.0,,,12.0,,19.0,,,,,,,
Off-road Traction,Weight,Ground Speed,11,17.0,,,13.0,,19.0,,,,,,,
Off-road Traction,Weight,Ground Speed,20,20.0,,,13.0,,16.0,,,,,,,
Off-road Traction,Weight,Ground Speed,2,19.0,,,13.0,,18.0,,,,,,,
Off-road Traction,Weight,Ground Speed,19,19.0,,,14.0,,16.0,,,,,,,
Off-road Traction,Weight,Ground Speed,9,18.0,,,14.0,,18.0,,,,,,,
Off-road Traction,Weight,Ground Speed,15,15.0,,,15.0,,17.0,,,,,,,
Off-road Traction,Weight,Ground Speed,14,17.0,,,15.0,,16.0,,,,,,,
Off-road Traction,Weight,Ground Speed,22,19.0,,,15.0,,13.0,,,,,,,
Off-road Traction,Weight,Ground Speed,8,18.0,,,15.0,,15.0,,,,,,,
Off-road Traction,Weight,Ground Speed,12,17.0,,,16.0,,15.0,,,,,,,
Off-road Traction,Weight,Ground Speed,21,18.0,,,16.0,,13.0,,,,,,,
Off-road Traction,Weight,Ground Speed,13,16.0,,,16.0,,16.0,,,,,,,
Off-road Traction,Weight,Ground Speed,17,16.0,,,17.0,,13.0,,,,,,,
Off-road Traction,Weight,Ground Speed,18,14.0,,,17.0,,14.0,,,,,,,
Off-road Traction,Weight,Ground Speed,16,15.0,,,18.0,,13.0,,,,,,,
Off-road Traction,Weight,Ground Speed,0,11.0,,,19.0,,9.0,,,,,,,
Off-road Traction,Weight,Ground Speed,1,10.0,,,20.0,,8.0,,,,,,,
Off-road Traction,Weight,Water Speed,5,20.0,,,5.0,,,18.0,,,,,,
Off-road Traction,Weight,Water Speed,7,19.0,,,9.0,,,19.0,,,,,,
Off-road Traction,Weight,Water Speed,4,20.0,,,10.0,,,17.0,,,,,,
Off-road Traction,Weight,Water Speed,6,18.0,,,10.0,,,20.0,,,,,,
Off-road Traction,Weight,Water Speed,22,20.0,,,11.0,,,15.0,,,,,,
Off-road Traction,Weight,Water Speed,3,19.0,,,11.0,,,18.0,,,,,,
Off-road Traction,Weight,Water Speed,14,17.0,,,11.0,,,20.0,,,,,,
Off-road Traction,Weight,Water Speed,8,20.0,,,12.0,,,14.0,,,,,,
Off-road Traction,Weight,Water Speed,23,20.0,,,13.0,,,12.0,,,,,,
Off-road Traction,Weight,Water Speed,9,14.0,,,13.0,,,20.0,,,,,,
Off-road Traction,Weight,Water Speed,13,18.0,,,13.0,,,18.0,,,,,,
Off-road Traction,Weight,Water Speed,12,17.0,,,14.0,,,19.0,,,,,,
Off-road Traction,Weight,Water Speed,11,19.0,,,14.0,,,16.0,,,,,,
Off-road Traction,Weight,Water Speed,15,13.0,,,14.0,,,20.0,,,,,,
Off-road Traction,Weight,Water Speed,17,16.0,,,15.0,,,19.0,,,,,,
Off-road Traction,Weight,Water Speed,25,19.0,,,15.0,,,14.0,,,,,,
Off-road Traction,Weight,Water Speed,10,18.0,,,15.0,,,17.0,,,,,,
Off-road Traction,Weight,Water Speed,16,17.0,,,16.0,,,17.0,,,,,,
Off-road Traction,Weight,Water Speed,18,11.0,,,16.0,,,18.0,,,,,,
Off-road Traction,Weight,Water Speed,24,18.0,,,16.0,,,15.0,,,,,,
Off-road Traction,Weight,Water Speed,20,16.0,,,17.0,,,14.0,,,,,,
Off-road Traction,Weight,Water Speed,21,14.0,,,17.0,,,17.0,,,,,,
Off-road Traction,Weight,Water Speed,19,15.0,,,18.0,,,15.0,,,,,,
Off-road Traction,Weight,Water Speed,2,9.0,,,19.0,,,12.0,,,,,,
Off-road Traction,Weight,Water Speed,0,11.0,,,19.0,,,11.0,,,,,,
Off-road Traction,Weight,Water Speed,1,10.0,,,20.0,,,10.0,,,,,,
Off-road Traction,Weight,Anti-gravity Speed,6,18.0,,,4.0,,,,20.0,,,,,
Off-road Traction,Weight,Anti-gravity Speed,5,17.0,,,5.0,,,,20.0,,,,,
Off-road Traction,Weight,Anti-gravity Speed,14,16.0,,,6.0,,,,20.0,,,,,
Off-road Traction,Weight,Anti-gravity Speed,12,15.0,,,7.0,,,,19.0,,,,,
Off-road Traction,Weight,Anti-gravity Speed,13,14.0,,,7.0,,,,20.0,,,,,
Off-road Traction,Weight,Anti-gravity Speed,16,12.0,,,8.0,,,,19.0,,,,,
Off-road Traction,Weight,Anti-gravity Speed,4,19.0,,,11.0,,,,18.0,,,,,
Off-road Traction,Weight,Anti-gravity Speed,7,20.0,,,12.0,,,,16.0,,,,,
Off-road Traction,Weight,Anti-gravity Speed,11,18.0,,,12.0,,,,18.0,,,,,
Off-road Traction,Weight,Anti-gravity Speed,23,20.0,,,13.0,,,,14.0,,,,,
Off-road Traction,Weight,Anti-gravity Speed,9,17.0,,,13.0,,,,17.0,,,,,
Off-road Traction,Weight,Anti-gravity Speed,10,16.0,,,13.0,,,,18.0,,,,,
Off-road Traction,Weight,Anti-gravity Speed,8,19.0,,,14.0,,,,16.0,,,,,
Off-road Traction,Weight,Anti-gravity Speed,15,14.0,,,14.0,,,,17.0,,,,,
Off-road Traction,Weight,Anti-gravity Speed,19,18.0,,,15.0,,,,16.0,,,,,
Off-road Traction,Weight,Anti-gravity Speed,25,19.0,,,15.0,,,,14.0,,,,,
Off-road Traction,Weight,Anti-gravity Speed,17,17.0,,,16.0,,,,15.0,,,,,
Off-road Traction,Weight,Anti-gravity Speed,18,16.0,,,16.0,,,,16.0,,,,,
Off-road Traction,Weight,Anti-gravity Speed,24,18.0,,,16.0,,,,13.0,,,,,
Off-road Traction,Weight,Anti-gravity Speed,22,16.0,,,17.0,,,,14.0,,,,,
Off-road Traction,Weight,Anti-gravity Speed,20,15.0,,,18.0,,,,13.0,,,,,
Off-road Traction,Weight,Anti-gravity Speed,21,14.0,,,18.0,,,,14.0,,,,,
Off-road Traction,Weight,Anti-gravity Speed,1,10.0,,,19.0,,,,10.0,,,,,
Off-road Traction,Weight,Anti-gravity Speed,0,11.0,,,19.0,,,,9.0,,,,,
Off-road Traction,Weight,Anti-gravity Speed,3,9.0,,,20.0,,,,9.0,,,,,
Off-road Traction,Weight,Anti-gravity Speed,2,10.0,,,20.0,,,,8.0,,,,,
Off-road Traction,Weight,Air Speed,7,19.0,,,6.0,,,,,18.0,,,,
Off-road Traction,Weight,Air Speed,6,18.0,,,7.0,,,,,18.0,,,,
